Unnamed: 0,parse_count,restaurant_name,rating_review,sample,review_id,title_review,review_preview,review_full,date,city,url_restaurant,author_id,negative,neutral,positive,overall_sentiment,blob_polarity,blob_subjectivity,sentiment_shift,review_length,num_stop_words,stop_words_ratio,num_exclamations,num_punctuation,url_present,keyword_count,emotion_anticipation,emotion_joy,emotion_positive,emotion_surprise,emotion_trust,emotion_anger,emotion_disgust,emotion_fear,emotion_negative,emotion_sadness,word_count,unique_word_count,mean_word_length,hashtag_count,mention_count,clean_text,predicted_label,predicted_rating,predicted_cuisine
49265,49266,Mercado_de_San_Miguel,5,Positive,review_743948127,So much choice ,This was a great way for me to experience tapas as I am a fussy eater and like to see what I’m getting. We enjoyed an Aperol Spritz (or two) and wandered around sampling the goods!I did have one guy try to tell me...,This was a great way for me to experience tapas as I am a fussy eater and like to see what I’m getting. We enjoyed an Aperol Spritz (or two) and wandered around sampling the goods! I did have one guy try to tell me they couldn’t accept coins below 5c but as there were no signs I basically told him to lump it. It all legal tender and no sign so either take the money or take the stuff back!  Enjoyable stroll and graze,2020-02-09,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d6367286-Reviews-or70-Mercado_de_San_Miguel-Madrid.html,UID_39447,0.058,0.794,0.149,0.7804,0.425,0.45,0.42635,419,41,0.0978520286396181,2,6,False,15,0.0666666666666666,0.1333333333333333,0.2666666666666666,0.0666666666666666,0.2,0.0666666666666666,0.0666666666666666,0.0,0.1333333333333333,0.0,85,70,3.929411764705882,0,0,great way experi tapa fussi eater like see get enjoy aperol spritz two wander around sampl good one guy tri tell accept coin c sign basic told lump legal tender sign either take money take stuff back enjoy stroll graze,good review,4,Spanish
49266,49267,Mercado_de_San_Miguel,5,Positive,review_743938412,Great market but too commercial!,I think this market is over rated! Great food but too busy and too touristy! The result is that you do not get a chance to enjoy the experience of trying different eats and drinks in a relaxed atmosphere! There are other markets nearby with...,"I think this market is over rated! Great food but too busy and too touristy! The result is that you do not get a chance to enjoy the experience of trying different eats and drinks in a relaxed atmosphere! There are other markets nearby with equally good food, similar prices and great wine where you can actually find a seat!",2020-02-09,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d6367286-Reviews-or70-Mercado_de_San_Miguel-Madrid.html,UID_39448,0.027,0.693,0.28,0.9709,0.3,0.4861111111111111,0.269,325,30,0.0923076923076923,4,5,False,16,0.1666666666666666,0.2222222222222222,0.2777777777777778,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,60,53,4.433333333333334,0,0,think market rate great food busi touristi result get chanc enjoy experi tri differ eat drink relax atmospher market nearbi equal good food similar price great wine actual find seat,bad review,2,French
49267,49268,Mercado_de_San_Miguel,5,Positive,review_743818367,Absolutely Loved It,This collection of restaurants and stores is under one roof in central Madrid.  You will find almost any dish that originates in Spain here as well as many international and exotic dishes and foods.  The food is delicious.  The shops accept credit cards.  Most of...,This collection of restaurants and stores is under one roof in central Madrid. You will find almost any dish that originates in Spain here as well as many international and exotic dishes and foods. The food is delicious. The shops accept credit cards. Most of the staff speak or understand English. Perhaps the only downside is that the place can get crowded. You absolutely must visit if you are in Madrid.,2020-02-08,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d6367286-Reviews-or70-Mercado_de_San_Miguel-Madrid.html,UID_39449,0.025,0.835,0.139,0.8402,0.3,0.5722222222222223,0.2956333333333333,407,34,0.0835380835380835,0,7,False,18,0.0,0.2222222222222222,0.5555555555555556,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,71,57,4.746478873239437,0,0,collect restaur store one roof central madrid find almost dish origin spain well mani intern exot dish food food delici shop accept credit card staff speak understand english perhap downsid place get crowd absolut must visit madrid,good review,4,Spanish
49268,49269,Mercado_de_San_Miguel,5,Positive,review_743608571,Taste of Spain at a great peice,"Visited Madrid and stopped at the Mercado on a Sunday afternoon while walking around the city. So many great options to try from in the market - alcohol, wine, tapas, fish, desserts, fruit. I enjoyed some pinxtos- lobster, octopus - a glass of red wine...","Visited Madrid and stopped at the Mercado on a Sunday afternoon while walking around the city. So many great options to try from in the market - alcohol, wine, tapas, fish, desserts, fruit. I enjoyed some pinxtos- lobster, octopus - a glass of red wine and a spinach ricotta empanada. Prices were very reasonable.",2020-02-07,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d6367286-Reviews-or70-Mercado_de_San_Miguel-Madrid.html,UID_39450,0.031,0.842,0.127,0.7769,0.412,0.546,0.5136333333333334,313,20,0.0638977635782747,0,13,False,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54,48,4.814814814814815,0,0,visit madrid stop mercado sunday afternoon walk around citi mani great option tri market alcohol wine tapa fish dessert fruit enjoy pinxto lobster octopu glass red wine spinach ricotta empanada price reason,good review,4,Spanish
49269,49270,Casa_Alberto,5,Positive,review_557310318,Best Tapas in Spain!,Amazing tapas the veal meatballs were amazing and the tortilla is delish. Great wine selection too. Really nice authentic experience. It gets busy so get there before 12:30pm for lunch.,Amazing tapas the veal meatballs were amazing and the tortilla is delish. Great wine selection too. Really nice authentic experience. It gets busy so get there before 12:30pm for lunch.,2018-01-30,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d697471-Reviews-or90-Casa_Alberto-Madrid.html,UID_39451,0.0,0.637,0.363,0.9412,0.5333333333333333,0.7666666666666666,0.2741666666666666,185,10,0.054054054054054,0,5,False,12,0.0,0.2,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.2,30,29,5.2,0,0,amaz tapa veal meatbal amaz tortilla delish great wine select realli nice authent experi get busi get pm lunch,very good review,5,Spanish
49270,49271,Casa_Alberto,5,Positive,review_555773390,Genuine,"Having read a lot of reviews of places in Spain (in English) there are often misconceptions and false expectations from tourists who don’t necessarily know how things work in Spain. I had the same experience in Italy, it took a few times to get a...","Having read a lot of reviews of places in Spain (in English) there are often misconceptions and false expectations from tourists who don’t necessarily know how things work in Spain. I had the same experience in Italy, it took a few times to get a feel of how the locals operate and are expected to behave in a bar environment like these. First up, with Casa Alberto, being a genuine old bar, the best place is actually at the bar, standing. The staff are not rude but just efficient. Order a drink such as the popular vermouth (vermut) or a caña of beer, you will be given tapas of different kinds. The food is classic Madrid and their oxtail stew (rabo), snails (caracoles) and Madrid style offal which is tripe, pig snout, ears, blood sausage (callos) were outstanding and have not had anywhere that topped it in my travels. The atmosphere is always lively, especially during the Spanish meal times. ",2018-01-22,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d697471-Reviews-or90-Casa_Alberto-Madrid.html,UID_39452,0.0,0.87,0.13,0.9714,0.1298245614035088,0.4368421052631579,0.2116,902,73,0.0809312638580931,0,28,False,34,0.1,0.15,0.4,0.0,0.2,0.0,0.05,0.0,0.1,0.0,160,123,4.6375,0,0,read lot review place spain english often misconcept fals expect tourist necessarili know thing work spain experi itali took time get feel local oper expect behav bar environ like first casa alberto genuin old bar best place actual bar stand staff rude effici order drink popular vermouth vermut ca beer given tapa differ kind food classic madrid oxtail stew rabo snail caracol madrid style offal tripe pig snout ear blood sausag callo outstand anywher top travel atmospher alway live especi spanish meal time,good review,4,Spanish
49271,49272,Casa_Alberto,5,Positive,review_555104614,Top notch Tapas,"Once you manage to get inside this buzzing Bar restaurant you are met with a convivial vibe. We propped up the bar with a beer while we waited for a table, once a table was nearly ready we had our food order taken. The team...","Once you manage to get inside this buzzing Bar restaurant you are met with a convivial vibe. We propped up the bar with a beer while we waited for a table, once a table was nearly ready we had our food order taken. The team here are clearly a well oiled machine and have a great system in place. The food when it arrived was very tasty and the portions generous. This is a great place to watch the world go by, while getting well fed and watered",2018-01-21,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d697471-Reviews-or90-Casa_Alberto-Madrid.html,UID_24315,0.0,0.776,0.224,0.9686,0.42,0.5366666666666667,0.2724749999999999,445,45,0.1011235955056179,0,6,False,20,0.1,0.2,0.3,0.0,0.35,0.0,0.0,0.05,0.0,0.0,88,67,4.068181818181818,0,0,manag get insid buzz bar restaur met convivi vibe prop bar beer wait tabl tabl nearli readi food order taken team clearli well oil machin great system place food arriv tasti portion gener great place watch world go get well fed water,good review,4,Spanish
49272,49273,Casa_Alberto,3,Negative,review_553502260,"Atmosphere great, quality not so much","Alberto’s is long on atmosphere, but the quality of the food isn’t very good.  The dining room is really for tourists—it’s clearly a very old, traditional restaurant with a great deal of charm, and if that’s what you’re looking for you’ll be satisfied.  But my...","Alberto’s is long on atmosphere, but the quality of the food isn’t very good. The dining room is really for tourists—it’s clearly a very old, traditional restaurant with a great deal of charm, and if that’s what you’re looking for you’ll be satisfied. But my wife’s hake was old, and the sauce on it tasted like it came out of a can. My squid was just OK. The tapas plates we saw in the front room didn’t look all that appetizing. The waiters were rather brusque, as other reviewers have noted, but that’s just a certain style in traditional Madrid restaurants with all-male wait-staffs, so it didn’t bother us. It’s the quality of the food—you can do much better than this in Madrid.",2018-01-13,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d697471-Reviews-or90-Casa_Alberto-Madrid.html,UID_19530,0.024,0.768,0.208,0.9824,0.2770918367346939,0.5454591836734693,0.3403333333333333,684,60,0.087719298245614,0,16,False,28,0.1428571428571428,0.1904761904761904,0.3809523809523809,0.0952380952380952,0.1428571428571428,0.0,0.0,0.0,0.0476190476190476,0.0,123,91,4.569105691056911,0,0,alberto long atmospher qualiti food good dine room realli tourist clearli old tradit restaur great deal charm look satisfi wife hake old sauc tast like came squid ok tapa plate saw front room look appet waiter rather brusqu review note certain style tradit madrid restaur male wait staff bother us qualiti food much better madrid,bad review,2,Spanish
49273,49274,Casa_Alberto,3,Negative,review_144817559,Not what they say it is,"We were disappointed with Casa Alberto. Though the place is quaint and a must to visit in view of its traditional setting, the wine is of a cheap quality and expensive. The tapas are similar to other tapas bars, so we found Casa Alberto only...","We were disappointed with Casa Alberto. Though the place is quaint and a must to visit in view of its traditional setting, the wine is of a cheap quality and expensive. The tapas are similar to other tapas bars, so we found Casa Alberto only worth to have one drink.",2012-11-06,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d697471-Reviews-or370-Casa_Alberto-Madrid.html,UID_39453,0.058,0.906,0.036,-0.296,-0.084375,0.596875,0.3515,266,25,0.093984962406015,0,5,False,14,0.0,0.1428571428571428,0.3571428571428571,0.0,0.1428571428571428,0.0714285714285714,0.0714285714285714,0.0,0.1428571428571428,0.0714285714285714,50,41,4.34,0,0,disappoint casa alberto though place quaint must visit view tradit set wine cheap qualiti expens tapa similar tapa bar found casa alberto worth one drink,bad review,2,Spanish
49274,49275,Casa_Alberto,2,Negative,review_144814953,Not worth your time,"The place is beautiful and steeped in History.  The service staff was wonderful.  If only any of the food would have been good, it would have been delghtful.  Everything was fried or covered with grease.  We came away feeling disappointed because we were actually referred...","The place is beautiful and steeped in History. The service staff was wonderful. If only any of the food would have been good, it would have been delghtful. Everything was fried or covered with grease. We came away feeling disappointed because we were actually referred there by the people who we rented the condo from. I think they probably have not eaten there in a while.",2012-11-06,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d697471-Reviews-or370-Casa_Alberto-Madrid.html,UID_39454,0.041,0.802,0.158,0.836,0.3,0.7416666666666666,0.2726,373,36,0.0965147453083109,0,7,False,14,0.0714285714285714,0.1785714285714285,0.1785714285714285,0.1071428571428571,0.1428571428571428,0.0714285714285714,0.0714285714285714,0.0357142857142857,0.0714285714285714,0.0714285714285714,66,55,4.666666666666667,0,0,place beauti steep histori servic staff wonder food would good would delght everyth fri cover greas came away feel disappoint actual refer peopl rent condo think probabl eaten,bad review,2,Spanish
