Unnamed: 0,parse_count,restaurant_name,rating_review,sample,review_id,title_review,review_preview,review_full,date,city,url_restaurant,author_id,negative,neutral,positive,overall_sentiment,blob_polarity,blob_subjectivity,sentiment_shift,review_length,num_stop_words,stop_words_ratio,num_exclamations,num_punctuation,url_present,keyword_count,emotion_anticipation,emotion_joy,emotion_positive,emotion_surprise,emotion_trust,emotion_anger,emotion_disgust,emotion_fear,emotion_negative,emotion_sadness,word_count,unique_word_count,mean_word_length,hashtag_count,mention_count,clean_text,predicted_label,predicted_rating
30055,30056,El_Club_Allard,5,Positive,review_133447644,Amazing ...,"Some of the finest  cuisine in Madrid !! Serving gourmet International cuisine.I had dinner a month ago. The place is spectacular : nice and  warm.The amazing service, very attentive, professional, friendly and very close. We were invited to a glass of champagne upon arrival,...","Some of the finest cuisine in Madrid !! Serving gourmet International cuisine. I had dinner a month ago. The place is spectacular : nice and warm.The amazing service, very attentive, professional, friendly and very close. We were invited to a glass of champagne upon arrival, it was a Tuesday and arrived at 20.30. We had dinner a dish with a grilled seafood was delicious. I recommend you to try, is exquisite. An unforgettable night, thanks.",2012-07-04,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1019405-Reviews-or450-El_Club_Allard-Madrid.html,UID_26094,0.0,0.756,0.244,0.968,0.4995833333333334,0.6583333333333333,0.2529249999999999,443,34,0.0767494356659142,2,18,False,19,0.1578947368421052,0.1578947368421052,0.4210526315789473,0.0526315789473684,0.2105263157894736,0.0,0.0,0.0,0.0,0.0,75,60,4.92,0,0,finest cuisin madrid serv gourmet intern cuisin dinner month ago place spectacular nice warm amaz servic attent profession friendli close invit glass champagn upon arriv tuesday arriv dinner dish grill seafood delici recommend tri exquisit unforgett night thank,good review,4
30056,30057,El_Club_Allard,5,Positive,review_133130377,Deserving it's status,A restaurant well deserving it's reputation and surprisingly affordable for its Michellin status. End of the day the chef Diego Guerroro focus appears to be about the food. The message a silent revolution printed on potatoe paper served with a peanut/pepper mousse starts the degustation...,"A restaurant well deserving it's reputation and surprisingly affordable for its Michellin status. End of the day the chef Diego Guerroro focus appears to be about the food. The message a silent revolution printed on potatoe paper served with a peanut/pepper mousse starts the degustation adventure. Our waitress Zulema Matas and Sommelier Javiar Barroso enhanced the 3 hour sensory experience. Reviews prior to this have gone through the various dishes. To repeat, each were an experience in itself. At 250 for 2 people with 3 glasses of wine each and a 12 course degustation over 3 hours, I would consider it value for money. Obviously not an everyday event, but for a special meal or event. Made our anniversary.",2012-06-30,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1019405-Reviews-or450-El_Club_Allard-Madrid.html,UID_26095,0.0,0.919,0.081,0.7935,0.2510204081632653,0.4387755102040816,0.28085,714,49,0.0686274509803921,0,14,False,22,0.1666666666666666,0.125,0.2916666666666667,0.125,0.0833333333333333,0.0833333333333333,0.0,0.0416666666666666,0.0416666666666666,0.0416666666666666,119,98,5.008403361344538,0,0,restaur well deserv reput surprisingli afford michellin statu end day chef diego guerroro focu appear food messag silent revolut print potato paper serv peanut pepper mouss start degust adventur waitress zulema mata sommeli javiar barroso enhanc hour sensori experi review prior gone variou dish repeat experi peopl glass wine cours degust hour would consid valu money obvious everyday event special meal event made anniversari,good review,4
30057,30058,El_Club_Allard,5,Positive,review_133046882,Grown up prices - but your kids would love it!,"Made lunch reservations (dinner was full for ages) at the last minute our first day in Madrid.  I don't know if the menus is any cheaper (70EU pp for a pri fixe menu), but we were the only people there for the first our of...","Made lunch reservations (dinner was full for ages) at the last minute our first day in Madrid. I don't know if the menus is any cheaper (70EU pp for a pri fixe menu), but we were the only people there for the first our of our meal and it was a privilege. The service was amazing - even though we speak no Spanish - the staff tried so hard to answer our questions and explain each dish. The chef himself - Diego Guererro - came to our table twice to check on us. Truly he came across as a tortured artist - a slave to his creations. He really took pleasure in our enjoyment of the meal. We later saw the press releases and realized he's quite the celebrity and could have been arrogant as he wanted he's famous for his creations. And they are creations! This is the first meal I recall taking a photo of every course served just because I felt words alone could not describe what we were eating. If I could go back and take my kids (Tweens & teens who will eat anything - there's obviously not a kids' menu here), I would and just starve the rest of the trip with no money left for food. His creations are pure magic. Every dish was like cirque de soleil with us asking ""how did they do that?!""",2012-06-29,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1019405-Reviews-or450-El_Club_Allard-Madrid.html,UID_26096,0.084,0.773,0.143,0.962,0.1807422969187675,0.4269607843137254,0.5001000000000001,1193,108,0.0905280804694048,2,35,False,51,0.0555555555555555,0.0833333333333333,0.2777777777777778,0.0833333333333333,0.1111111111111111,0.1388888888888889,0.0555555555555555,0.0277777777777777,0.1388888888888889,0.0277777777777777,233,163,4.124463519313305,0,0,made lunch reserv dinner full age last minut first day madrid know menu cheaper eu pp pri fix menu peopl first meal privileg servic amaz even though speak spanish staff tri hard answer question explain dish chef diego guererro came tabl twice check us truli came across tortur artist slave creation realli took pleasur enjoy meal later saw press releas realiz quit celebr could arrog want famou creation creation first meal recal take photo everi cours serv felt word alon could describ eat could go back take kid tween teen eat anyth obvious kid menu would starv rest trip money left food creation pure magic everi dish like cirqu de soleil us ask,good review,4
30058,30059,El_Club_Allard,5,Positive,review_132905020,"Imaginative, delicious meal",My husband and I dined at El Club Allard for his birthday dinner.  We went with the traditional menu.  The servers were attentive without being intrusive.  The initial atmosphere was a bit formal but as the night went on--the focus was on the food!  Every...,"My husband and I dined at El Club Allard for his birthday dinner. We went with the traditional menu. The servers were attentive without being intrusive. The initial atmosphere was a bit formal but as the night went on--the focus was on the food! Every dish was beautifully presented, some were whimsical, others were works of art! We enjoyed the majority of the dishes. The taste and portions were more than adequate for us. The highlights were the foie dish and the fishbowl dessert. They even brought out a beautifully decorated sign ""Happy Birthday"" for my husband. Overall, a very very special night. Truly memorable!  You need to book well in advance! But is is worth the effort.",2012-06-27,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1019405-Reviews-or450-El_Club_Allard-Madrid.html,UID_23214,0.0,0.737,0.263,0.991,0.3681335034013605,0.6090136054421768,0.2159416666666667,684,57,0.0833333333333333,4,20,False,25,0.0769230769230769,0.2051282051282051,0.3333333333333333,0.1282051282051282,0.1025641025641025,0.0256410256410256,0.0256410256410256,0.0512820512820512,0.0256410256410256,0.0256410256410256,118,89,4.796610169491525,0,0,husband dine el club allard birthday dinner went tradit menu server attent without intrus initi atmospher bit formal night went focu food everi dish beauti present whimsic other work art enjoy major dish tast portion adequ us highlight foie dish fishbowl dessert even brought beauti decor sign happi birthday husband overal special night truli memor need book well advanc worth effort,good review,4
30059,30060,El_Club_Allard,5,Positive,review_132434037,My Score: 97/100 Excellent,Food: 20/20Wine: 10/10Service: 19/20Atmosphere: 9/10Value: 19/20“Will Return” Rating: 20/20Best: ImaginationWorst: Book in advancePrice: Expensive but fairShort description: Outstanding meal!!,Food: 20/20Wine: 10/10Service: 19/20Atmosphere: 9/10Value: 19/20“Will Return” Rating: 20/20Best: ImaginationWorst: Book in advancePrice: Expensive but fairShort description: Outstanding meal!!,2012-06-21,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1019405-Reviews-or450-El_Club_Allard-Madrid.html,UID_26097,0.0,0.747,0.253,0.7955,0.140625,0.7875,0.7777,192,2,0.0104166666666666,2,18,False,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,19,9.157894736842104,0,0,food wine servic atmospher valu return rate best imaginationworst book advancepric expens fairshort descript outstand meal,very good review,5
30060,30061,Taberna_el_Sur,4,Positive,review_379564820,Great food and a wonderful staff!,We found this gem by using TripAdvisor.The service we got was amazing thanks to Alex and his co-worker (wish I knew your name. P.S - she made us the best Sangria we've had in our entire trip in Madrid).The food was amazing! we...,We found this gem by using TripAdvisor. The service we got was amazing thanks to Alex and his co-worker (wish I knew your name. P.S - she made us the best Sangria we've had in our entire trip in Madrid). The food was amazing! we based our choices on their recommendations in the menu and we loved everything! We will definitely come back there if we will ever visit here again. Love from Tel-Aviv,2016-06-04,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2527526-Reviews-or2090-Taberna_el_Sur-Madrid.html,UID_26098,0.0,0.696,0.304,0.9831,0.4361111111111111,0.5361111111111111,0.2613833333333333,396,35,0.0883838383838383,2,13,False,21,0.0,0.3,0.4,0.1,0.2,0.0,0.0,0.0,0.0,0.0,74,62,4.364864864864865,0,0,found gem use tripadvisor servic got amaz thank alex co worker wish knew name p made us best sangria entir trip madrid food amaz base choic recommend menu love everyth definit come back ever visit love tel aviv,good review,4
30061,30062,Taberna_el_Sur,5,Positive,review_379535638,Great service,"Wonderful tiny local bar with lively atmosphere, good food, good wine and great service from our waiter Alex!","Wonderful tiny local bar with lively atmosphere, good food, good wine and great service from our waiter Alex!",2016-06-03,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2527526-Reviews-or2090-Taberna_el_Sur-Madrid.html,UID_26099,0.0,0.436,0.564,0.9501,0.5051948051948052,0.5642857142857143,0.0,109,4,0.036697247706422,1,3,False,11,0.1538461538461538,0.2307692307692307,0.2307692307692307,0.1538461538461538,0.2307692307692307,0.0,0.0,0.0,0.0,0.0,18,17,5.111111111111111,0,0,wonder tini local bar live atmospher good food good wine great servic waiter alex,good review,4
30062,30063,Taberna_el_Sur,5,Positive,review_379438036,Small bar big welcome and great food,This is a narrow bar that spills into a small (20ish seating) restaurant at the back. There is a warm greeting from the bar staff who speak a range of languages. We waited 25mins or so for a table and we are glad we did....,"This is a narrow bar that spills into a small (20ish seating) restaurant at the back. There is a warm greeting from the bar staff who speak a range of languages. We waited 25mins or so for a table and we are glad we did. We asked what we should have and were served some great dishes. Our party of four enjoyed the shredded beef in Cuban sauce, garlic gambas, mousaka, potatas bravas... we were told we could add any more if we needed but were told to save room for the home made cakes... chocolate cake, cheese cake, carrott cake, we are glad we did. With a bottle of wine, 4 proseccos we were very happy to pay 80 euros. Noisy but warm and inviting atmosphere.",2016-06-03,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2527526-Reviews-or2090-Taberna_el_Sur-Madrid.html,UID_26100,0.027,0.765,0.207,0.9772,0.4136363636363636,0.6318181818181817,0.2590833333333333,662,61,0.0921450151057401,0,22,False,22,0.2068965517241379,0.2413793103448276,0.2758620689655172,0.0689655172413793,0.1724137931034483,0.0,0.0,0.0,0.0344827586206896,0.0,127,91,4.2204724409448815,0,0,narrow bar spill small ish seat restaur back warm greet bar staff speak rang languag wait min tabl glad ask serv great dish parti four enjoy shred beef cuban sauc garlic gamba mousaka potata brava told could add need told save room home made cake chocol cake chees cake carrott cake glad bottl wine prosecco happi pay euro noisi warm invit atmospher,good review,4
30063,30064,Taberna_el_Sur,5,Positive,review_379385220,Tasty and friendly,"Just what we were looking for - away from the touristy places, relaxed but authentic. Food was tasty and good value and they went out of their way to be helpful to our 10 year old daughter. The grilled prawns were excellent as was the...","Just what we were looking for - away from the touristy places, relaxed but authentic. Food was tasty and good value and they went out of their way to be helpful to our 10 year old daughter. The grilled prawns were excellent as was the white sangria (very pretty). Staff were friendly (Chris, Edison (?) and a smiley barman). Highly recommended.",2016-06-03,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2527526-Reviews-or2090-Taberna_el_Sur-Madrid.html,UID_26101,0.0,0.612,0.388,0.9873,0.395,0.57375,0.2116799999999999,344,27,0.0784883720930232,0,15,False,19,0.1379310344827586,0.2758620689655172,0.3103448275862069,0.0344827586206896,0.2413793103448276,0.0,0.0,0.0,0.0,0.0,61,54,4.655737704918033,0,0,look away touristi place relax authent food tasti good valu went way help year old daughter grill prawn excel white sangria pretti staff friendli chri edison smiley barman highli recommend,good review,4
30064,30065,Taberna_el_Sur,5,Positive,review_378573010,Great place ,Maravilloso!! Menu del dia perfecto..The wine was Very good And the starters as well. Jhoan and Vanessa are Very sympathetic! We'll definetly come back,Maravilloso!! Menu del dia perfecto..The wine was Very good And the starters as well. Jhoan and Vanessa are Very sympathetic! We'll definetly come back,2016-06-01,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2527526-Reviews-or2090-Taberna_el_Sur-Madrid.html,UID_26102,0.0,0.683,0.317,0.8677,0.5741666666666666,0.5933333333333334,0.4318666666666667,151,9,0.0596026490066225,3,7,False,6,0.1,0.2,0.2,0.1,0.2,0.0,0.0,0.1,0.0,0.1,24,23,5.333333333333333,0,0,maravilloso menu del dia perfecto wine good starter well jhoan vanessa sympathet definetli come back,very good review,5
