Unnamed: 0,parse_count,restaurant_name,rating_review,sample,review_id,title_review,review_preview,review_full,date,city,url_restaurant,author_id,negative,neutral,positive,overall_sentiment,blob_polarity,blob_subjectivity,sentiment_shift,review_length,num_stop_words,stop_words_ratio,num_exclamations,num_punctuation,url_present,keyword_count,emotion_anticipation,emotion_joy,emotion_positive,emotion_surprise,emotion_trust,emotion_anger,emotion_disgust,emotion_fear,emotion_negative,emotion_sadness,word_count,unique_word_count,mean_word_length,hashtag_count,mention_count,clean_text,predicted_label,predicted_rating,predicted_cuisine
13034,13035,BLoved,5,Positive,review_631681762,Great dining experience,"Our tour leader took us along to this restaurant as a farewell dinner and we were all very happy with the choice. Our waiter was attentive, knowledgeable and happy to answer all of our questions.I had the seafood paella which was delicious, a nice...","Our tour leader took us along to this restaurant as a farewell dinner and we were all very happy with the choice. Our waiter was attentive, knowledgeable and happy to answer all of our questions. I had the seafood paella which was delicious, a nice mix of meat with good flavour in the rice and vegetables. The bread was crunchy and fresh and the wine list was extensive. Highly recommended!",2018-11-07,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2001964-Reviews-or20-BLoved-Madrid.html,UID_11951,0.0,0.743,0.257,0.9673,0.5555555555555556,0.7637037037037037,0.21975,391,36,0.0920716112531969,1,7,False,18,0.1363636363636363,0.1818181818181818,0.4090909090909091,0.0454545454545454,0.2272727272727272,0.0,0.0,0.0,0.0,0.0,70,53,4.6,0,0,tour leader took us along restaur farewel dinner happi choic waiter attent knowledg happi answer question seafood paella delici nice mix meat good flavour rice veget bread crunchi fresh wine list extens highli recommend,good review,4,Greek
13035,13036,BLoved,5,Positive,review_630881206,To be loved!,"Great place for a perfect dinner experience. Food is very good: we had oxtail and tuna that were just great, and don't skip desserts, the carrot and cardamom cheesecake in particular is unmissable. We were just not fully satisfied by the wine by the glass,...","Great place for a perfect dinner experience. Food is very good: we had oxtail and tuna that were just great, and don't skip desserts, the carrot and cardamom cheesecake in particular is unmissable. We were just not fully satisfied by the wine by the glass, we tried both white and red, but if you go for a bottle there is wide choice for you to get the right wine. The setting is modern and nice. Service is truly outstanding: they will take care of you with such kindness that it makes a difference vs. other restaurants nearby. Highly recommended.",2018-11-04,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2001964-Reviews-or20-BLoved-Madrid.html,UID_11952,0.014,0.714,0.272,0.9858,0.3560863095238095,0.5711904761904762,0.55848,549,52,0.0947176684881603,0,14,False,23,0.12,0.2,0.36,0.04,0.16,0.0,0.0,0.0,0.12,0.0,99,77,4.555555555555555,0,0,great place perfect dinner experi food good oxtail tuna great skip dessert carrot cardamom cheesecak particular unmiss fulli satisfi wine glass tri white red go bottl wide choic get right wine set modern nice servic truli outstand take care kind make differ vs restaur nearbi highli recommend,good review,4,American
13036,13037,BLoved,5,Positive,review_615541888,Complete restaurant experience,"Great food, I had el solomillo, the meat tasted fantastic, my wife the risotto. Both dishes were great value for money. The restaurant looks great, as you can see in the pictures. But most of all, the staff were really friendly. We had a few...","Great food, I had el solomillo, the meat tasted fantastic, my wife the risotto. Both dishes were great value for money. The restaurant looks great, as you can see in the pictures. But most of all, the staff were really friendly. We had a few glasses of wine, tree bottles of water, 2 main dishes, 2 desserts and 1 coffee and paid only 69 euro's. In a Belgian restaurant with this interior and quality of food, you would pay a lot more!",2018-09-10,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2001964-Reviews-or30-BLoved-Madrid.html,UID_11953,0.017,0.804,0.179,0.9335,0.4266666666666666,0.6083333333333333,0.2284799999999999,435,37,0.0850574712643678,1,16,False,24,0.1290322580645161,0.1935483870967742,0.2580645161290322,0.064516129032258,0.2258064516129032,0.064516129032258,0.064516129032258,0.0,0.0,0.0,82,66,4.317073170731708,0,0,great food el solomillo meat tast fantast wife risotto dish great valu money restaur look great see pictur staff realli friendli glass wine tree bottl water main dish dessert coffe paid euro belgian restaur interior qualiti food would pay lot,good review,4,French
13037,13038,BLoved,5,Positive,review_615301566,Tasting menu,"We visited here for the tasting menu and everything was spot on from start to finish; the staff were really friendly and the restaurant was quiet.Each course had something different to offer, from perfectly grilled octopus to tart ceviche - the steak cooked at...","We visited here for the tasting menu and everything was spot on from start to finish; the staff were really friendly and the restaurant was quiet. Each course had something different to offer, from perfectly grilled octopus to tart ceviche - the steak cooked at the table on a Himalayan salt stone was also an excellent touch. The courses are paired wines, starting with cava, followed by white, red and a dessert wine. The bill, including two espressos, came to just over €100 which is good value in my opinion. I've had tasting menus in the UK for double the price, and the flavours and service were just as good. Would definitely recommend to anyone visiting Madrid!",2018-09-09,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2001964-Reviews-or30-BLoved-Madrid.html,UID_11954,0.0,0.813,0.187,0.9753,0.3145833333333334,0.436111111111111,0.4433399999999999,669,52,0.077727952167414,1,16,False,29,0.1612903225806451,0.1612903225806451,0.2903225806451613,0.064516129032258,0.1935483870967742,0.032258064516129,0.032258064516129,0.0,0.032258064516129,0.032258064516129,117,90,4.726495726495727,0,0,visit tast menu everyth spot start finish staff realli friendli restaur quiet cours someth differ offer perfectli grill octopu tart cevich steak cook tabl himalayan salt stone also excel touch cours pair wine start cava follow white red dessert wine bill includ two espresso came good valu opinion tast menu uk doubl price flavour servic good would definit recommend anyon visit madrid,good review,4,Spanish
13038,13039,BLoved,5,Positive,review_614050439,Enjoyable dinner,"Located inside a hotel, the restaurant is cosy and simple. The service is excellent, food is a good and the wine list rich in great Spanish wines. They provide high chairs for babies so also good for families. Definitely a good call.","Located inside a hotel, the restaurant is cosy and simple. The service is excellent, food is a good and the wine list rich in great Spanish wines. They provide high chairs for babies so also good for families. Definitely a good call.",2018-09-05,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2001964-Reviews-or30-BLoved-Madrid.html,UID_11955,0.0,0.603,0.397,0.9722,0.4927777777777778,0.5774603174603175,0.5241333333333333,233,16,0.0686695278969957,0,6,False,15,0.125,0.2083333333333333,0.2916666666666667,0.125,0.25,0.0,0.0,0.0,0.0,0.0,42,33,4.571428571428571,0,0,locat insid hotel restaur cosi simpl servic excel food good wine list rich great spanish wine provid high chair babi also good famili definit good call,good review,4,Spanish
13039,13040,BLoved,4,Positive,review_609678716,Great ambiance in the center of Madrid,"Today we have found an interesting restaurant in the center of Madrid: BLoved. The ambiance is great just like the service. We started with a delicious appetizer and continued the evening with solomillo and the paella with calamari, gambas and langostines. The taste of both...","Today we have found an interesting restaurant in the center of Madrid: BLoved. The ambiance is great just like the service. We started with a delicious appetizer and continued the evening with solomillo and the paella with calamari, gambas and langostines. The taste of both dishes was very good. The medium solomillo was almost well done, which was a pity, but the taste was still good. The desert panacotta is a great ending of a great evening. For us it has been an experience to remember!",2018-08-23,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2001964-Reviews-or30-BLoved-Madrid.html,UID_11956,0.015,0.724,0.261,0.9772,0.6122222222222222,0.6033333333333334,0.3064833333333333,492,44,0.089430894308943,1,11,False,21,0.0833333333333333,0.1666666666666666,0.25,0.0833333333333333,0.1666666666666666,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0833333333333333,86,60,4.732558139534884,0,0,today found interest restaur center madrid blove ambianc great like servic start delici appet continu even solomillo paella calamari gamba langostin tast dish good medium solomillo almost well done piti tast still good desert panacotta great end great even us experi rememb,good review,4,Spanish
13040,13041,Pampa_Beef,5,Positive,review_581929402,Study Abroad,"Me and my two friends are from America and we’re cravig a good pizza and we found it. Amazing food, amazing service and great music and atmosphere!! Love love love!","Me and my two friends are from America and we’re cravig a good pizza and we found it. Amazing food, amazing service and great music and atmosphere!! Love love love!",2018-05-22,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d4698301-Reviews-or140-Pampa_Beef-Madrid.html,UID_11957,0.0,0.414,0.586,0.9863,0.6464285714285715,0.7071428571428571,0.1064,164,11,0.0670731707317073,3,5,False,14,0.0555555555555555,0.3333333333333333,0.3333333333333333,0.0555555555555555,0.1666666666666666,0.0,0.0,0.0,0.0,0.0555555555555555,30,26,4.5,0,0,two friend america cravig good pizza found amaz food amaz servic great music atmospher love love love,good review,4,American
13041,13042,Pampa_Beef,5,Positive,review_578719831,Incredible ,"We had the provolone cheese as a shared starter, followed by the beef for 2 people with fries for main, finished with a cheesecake plus 3 drinks for a very reasonable €65.The food here is amazing. The beef was tender, melted in your mouth...","We had the provolone cheese as a shared starter, followed by the beef for 2 people with fries for main, finished with a cheesecake plus 3 drinks for a very reasonable €65. The food here is amazing. The beef was tender, melted in your mouth and was cooked perfectly.  Put this restaurant on your list of places to go but make sure you reserve as the seating area is limited.  10/10",2018-05-08,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d4698301-Reviews-or140-Pampa_Beef-Madrid.html,UID_11958,0.03,0.846,0.124,0.743,0.4092063492063492,0.6741798941798942,0.23345,380,34,0.0894736842105263,0,8,False,16,0.0,0.1538461538461538,0.3076923076923077,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.0,0.0,0.1538461538461538,0.0769230769230769,71,58,4.338028169014085,0,0,provolon chees share starter follow beef peopl fri main finish cheesecak plu drink reason food amaz beef tender melt mouth cook perfectli put restaur list place go make sure reserv seat area limit,good review,4,Italian
13042,13043,Pampa_Beef,5,Positive,review_561320883,Great food and wine!!,"Visited with a group of friends, great service, fantastic wine and even better steak! If you are looking for a nice evening meal and drink, visit this place!","Visited with a group of friends, great service, fantastic wine and even better steak! If you are looking for a nice evening meal and drink, visit this place!",2018-02-18,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d4698301-Reviews-or140-Pampa_Beef-Madrid.html,UID_11959,0.0,0.574,0.426,0.9523,0.64375,0.7875,0.4571,157,11,0.0700636942675159,2,5,False,16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,26,4.642857142857143,0,0,visit group friend great servic fantast wine even better steak look nice even meal drink visit place,good review,4,American
13043,13044,BLoved,5,Positive,review_599080657,Nice Restaurant,We were lucky to find this gem. We were just walking down the street and saw this neat restaurant. We were pleasantly surprised. The food and service was excellent. Very clean and had a hip modern atmosphere.,We were lucky to find this gem. We were just walking down the street and saw this neat restaurant. We were pleasantly surprised. The food and service was excellent. Very clean and had a hip modern atmosphere.,2018-07-23,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2001964-Reviews-or40-BLoved-Madrid.html,UID_11960,0.0,0.633,0.367,0.9516,0.3257407407407407,0.7053703703703703,0.086425,208,20,0.0961538461538461,0,5,False,6,0.0,0.3333333333333333,0.3333333333333333,0.1333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,37,30,4.648648648648648,0,0,lucki find gem walk street saw neat restaur pleasantli surpris food servic excel clean hip modern atmospher,good review,4,American
