Unnamed: 0,parse_count,restaurant_name,rating_review,sample,review_id,title_review,review_preview,review_full,date,city,url_restaurant,author_id,negative,neutral,positive,overall_sentiment,blob_polarity,blob_subjectivity,sentiment_shift,review_length,num_stop_words,stop_words_ratio,num_exclamations,num_punctuation,url_present,keyword_count,emotion_anticipation,emotion_joy,emotion_positive,emotion_surprise,emotion_trust,emotion_anger,emotion_disgust,emotion_fear,emotion_negative,emotion_sadness,word_count,unique_word_count,mean_word_length,hashtag_count,mention_count,clean_text,predicted_label,predicted_rating
42093,42094,Alcaravea,5,Positive,review_152057972,A wonderful choice,"Alcaravea gives me a wonderful night. The food is delicious and the service is very good. The owner - Cesar is so nice. You ask him for today special dishes, as he can speak perfect English. If you wanna have a good food in local...","Alcaravea gives me a wonderful night. The food is delicious and the service is very good. The owner - Cesar is so nice. You ask him for today special dishes, as he can speak perfect English. If you wanna have a good food in local restaurant, definitely come here - Alcaravea.  Metro: Islas Filipinas (line 7)",2013-02-13,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2403049-Reviews-or70-Alcaravea-Madrid.html,UID_34781,0.0,0.647,0.353,0.9781,0.5567142857142857,0.6451428571428572,0.27558,308,23,0.0746753246753246,0,12,False,18,0.0967741935483871,0.2580645161290322,0.2580645161290322,0.0967741935483871,0.1935483870967742,0.0,0.0,0.032258064516129,0.032258064516129,0.032258064516129,56,50,4.5,0,0,alcaravea give wonder night food delici servic good owner cesar nice ask today special dish speak perfect english wanna good food local restaur definit come alcaravea metro isla filipina line,very good review,5
42094,42095,Alcaravea,5,Positive,review_151909350,Like at my friend's home,"It seemed that restaraunt team was waiting for ages for us to come here, so much did they enjoy our visit. It's a small (family owned?) restaurant with the home food of exceptional quality and taste. One can expect that being a romantic pair you...","It seemed that restaraunt team was waiting for ages for us to come here, so much did they enjoy our visit. It's a small (family owned?) restaurant with the home food of exceptional quality and taste. One can expect that being a romantic pair you don't need anything else on top to professional advise on dishes and wine, but they created the atmosphere of celebrating the evening in the company of old good friends. Muchas gracias!",2013-02-11,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2403049-Reviews-or70-Alcaravea-Madrid.html,UID_34782,0.0,0.765,0.235,0.9647,0.287962962962963,0.4444444444444444,0.602025,431,34,0.0788863109048723,1,11,False,19,0.1818181818181818,0.1515151515151515,0.303030303030303,0.0606060606060606,0.2727272727272727,0.0,0.0,0.0,0.0303030303030303,0.0,76,64,4.684210526315789,0,0,seem restaraunt team wait age us come much enjoy visit small famili own restaur home food except qualiti tast one expect romant pair need anyth els top profession advis dish wine creat atmospher celebr even compani old good friend mucha gracia,very good review,5
42095,42096,Alcaravea,5,Positive,review_151878098,Great Food - Family Style,This was a great find on our trip to Madrid.  The food was fresh and packed with local flavors.  For us it was a long cab ride form our hotel but it was worth it.  When we arrived our host Cesar said we needed to...,"This was a great find on our trip to Madrid. The food was fresh and packed with local flavors. For us it was a long cab ride form our hotel but it was worth it. When we arrived our host Cesar said we needed to share, which we thought meant as a couple we needed to share. No, no...for Cesar it meant we need to order 1/2 portions and taste all the selections family style. If we ordered full portion we could have feed two more couples with our two first and second courses. Our 1/2 portions arrived paced, one after we finished another. Each was fresh and filled with local flavor. We had a salad with cheese shavings, bacon and an aged balsamic vinegar on top. It was so good we neglected to put on oil and vinegar which was provided. We had a soup made from a local vegetable I could not pronounce either the English or Spanish versions. For our entries we had a special Iberia pork cut topped with caramelized onions and brie, and a simple dish of monk fish topped with olive oil, lemon juice, roasted garlic and red pepper bits. Everything was fresh. The best part was it was very affordable. Even with the cab fare it was less than other restaurants we visited of similar quality. When we arrived we were at first concerned because the front was just a bar, and we were lead to a very small restaurant area in the back where no one was seated. We spoke only English and all the staff tried their best to welcome us, which quickly overcame any concerns we had. We arrived at 8:30PM on a Saturday night and there were two tables with guests; by 9:30PM ALL the tables were full !! Alcaravea was filled with very happy local patrons, and one very happy tourist customer. We were lucky we made reservations because we would have missed the wonderful food, and most important the friendly staff and Cesar.",2013-02-11,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2403049-Reviews-or70-Alcaravea-Madrid.html,UID_10320,0.033,0.786,0.181,0.9961,0.2984226190476191,0.4386719576719577,0.30094,1805,160,0.0886426592797784,2,40,False,78,0.1323529411764706,0.1617647058823529,0.3235294117647059,0.0588235294117647,0.1764705882352941,0.0147058823529411,0.0294117647058823,0.0147058823529411,0.0588235294117647,0.0294117647058823,336,198,4.375,0,0,great find trip madrid food fresh pack local flavor us long cab ride form hotel worth arriv host cesar said need share thought meant coupl need share cesar meant need order portion tast select famili style order full portion could feed two coupl two first second cours portion arriv pace one finish anoth fresh fill local flavor salad chees shave bacon age balsam vinegar top good neglect put oil vinegar provid soup made local veget could pronounc either english spanish version entri special iberia pork cut top caramel onion brie simpl dish monk fish top oliv oil lemon juic roast garlic red pepper bit everyth fresh best part afford even cab fare less restaur visit similar qualiti arriv first concern front bar lead small restaur area back one seat spoke english staff tri best welcom us quickli overcam concern arriv pm saturday night two tabl guest pm tabl full alcaravea fill happi local patron one happi tourist custom lucki made reserv would miss wonder food import friendli staff cesar,good review,4
42096,42097,Venta_El_Buscon,4,Positive,review_346889507,Generous and very good,I like it and the paella's plate was generous and very good. Also my children enjoyed it. Service nice,I like it and the paella's plate was generous and very good. Also my children enjoyed it. Service nice,2016-02-11,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d990632-Reviews-or110-Venta_El_Buscon-Madrid.html,UID_5221,0.0,0.481,0.519,0.9336,0.6699999999999999,0.8266666666666667,0.2092,102,8,0.0784313725490196,0,3,False,8,0.125,0.25,0.25,0.125,0.25,0.0,0.0,0.0,0.0,0.0,19,18,4.421052631578948,0,0,like paella plate gener good also children enjoy servic nice,good review,4
42097,42098,Venta_El_Buscon,5,Positive,review_344437802,Excellent Spanish dishes,I was taken to this restaurant by a local Madrid friend and I can definitely state that it is one of the better restaurants I have been to get n Madrid. I have the menu del dia with a fabada asturiana (Spanish bean stew) as...,"I was taken to this restaurant by a local Madrid friend and I can definitely state that it is one of the better restaurants I have been to get n Madrid. I have the menu del dia with a fabada asturiana (Spanish bean stew) as the first course. Second course a small leg of lamb roasted asturiana style with potato's followed by an excellent dessert. This all comes with wine, bottled water and bread. This to me was an excellent meal. The portions are so big that I am sure you will not be able to eat all of it. And one thing I notice is the place is full of Spanish enjoying their lunches. And also the price is inexpensively low. Of course I do not know that we received such an excellent service is because my companion is,well known to the restaurant. I did returned with my companion 2 days later and the same high standard is bestowed upon us. This time I have a rice with shellfish as a first course and a cocido madrileno and again big portions. I again thoroughly enjoyed the meals. I would rate this place one of my most enjoyable restaurants in Madrid to go to.",2016-02-01,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d990632-Reviews-or110-Venta_El_Buscon-Madrid.html,UID_34783,0.009,0.848,0.142,0.9838,0.2688888888888889,0.4146502057613168,0.4871916666666667,1071,105,0.0980392156862745,0,18,False,53,0.0666666666666666,0.2666666666666666,0.3666666666666666,0.0,0.2666666666666666,0.0,0.0,0.0,0.0333333333333333,0.0,204,129,4.254901960784314,0,0,taken restaur local madrid friend definit state one better restaur get n madrid menu del dia fabada asturiana spanish bean stew first cours second cours small leg lamb roast asturiana style potato follow excel dessert come wine bottl water bread excel meal portion big sure abl eat one thing notic place full spanish enjoy lunch also price inexpens low cours know receiv excel servic companion well known restaur return companion day later high standard bestow upon us time rice shellfish first cours cocido madrileno big portion thoroughli enjoy meal would rate place one enjoy restaur madrid go,very good review,5
42098,42099,Venta_El_Buscon,4,Positive,review_342937049,Great place if you want something in the centre of Madrid,"With so many places that rip you off it was good to find somewhere where you get good service, good food and sensible prices. It you just want a beer and tapas, or something a little more filling this is good, authentic food.","With so many places that rip you off it was good to find somewhere where you get good service, good food and sensible prices. It you just want a beer and tapas, or something a little more filling this is good, authentic food.",2016-01-26,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d990632-Reviews-or110-Venta_El_Buscon-Madrid.html,UID_34784,0.0,0.747,0.253,0.8979,0.5140625,0.58125,0.3331999999999999,225,21,0.0933333333333333,0,5,False,17,0.1290322580645161,0.2580645161290322,0.2580645161290322,0.1290322580645161,0.2258064516129032,0.0,0.0,0.0,0.0,0.0,43,37,4.255813953488372,0,0,mani place rip good find somewher get good servic good food sensibl price want beer tapa someth littl fill good authent food,good review,4
42099,42100,Alcaravea,4,Positive,review_155981393,A culinary treat,We loved the charming welcome of his young owner and his personalized advices of what to choose. The restaurant was packed that Friday night. I ordered scrambled eggs with Iberian Ham and Mushrooms and Iberian pork tenderloin with parmesan cheese ( Secreto de Cerdo Ibérico...,"We loved the charming welcome of his young owner and his personalized advices of what to choose. The restaurant was packed that Friday night. I ordered scrambled eggs with Iberian Ham and Mushrooms and Iberian pork tenderloin with parmesan cheese ( Secreto de Cerdo Ibérico de Bellota con Parmesano ) : In one word : FANTASTIC ! Not to forget the Priorat Wine of limited production , owner's suggestion. Alcaravea in Cea Bermudez street has two shifts and when we left, the bar was full of diners waiting to be admitted to the late shift of 11 pm. Big problem : we drove around 20' until we found a place to park our Hertz car.",2013-03-29,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2403049-Reviews-or60-Alcaravea-Madrid.html,UID_11003,0.045,0.814,0.141,0.9273,0.2778571428571429,0.5392857142857143,0.5892599999999999,627,44,0.0701754385964912,1,15,False,15,0.0909090909090909,0.0909090909090909,0.2727272727272727,0.0454545454545454,0.0909090909090909,0.0454545454545454,0.0,0.0454545454545454,0.1818181818181818,0.1363636363636363,115,92,4.460869565217391,0,0,love charm welcom young owner person advic choos restaur pack friday night order scrambl egg iberian ham mushroom iberian pork tenderloin parmesan chees secreto de cerdo ib rico de bellota con parmesano one word fantast forget priorat wine limit product owner suggest alcaravea cea bermudez street two shift left bar full diner wait admit late shift pm big problem drove around found place park hertz car,very good review,5
42100,42101,Alcaravea,5,Positive,review_155263721,"Too much for one, but delicious","They say that they serve generous portions and they do.  Even a half racion of baby artichokes was too much for one person.  But, it was delicious: great cheeses and nicely garlicked.  Had salt baked cod on a portion designed for two.  Perfectly cooked.  I...","They say that they serve generous portions and they do. Even a half racion of baby artichokes was too much for one person. But, it was delicious: great cheeses and nicely garlicked. Had salt baked cod on a portion designed for two. Perfectly cooked. I ate it all. Absolutely no complaints, except for my expanding waistlne. But some things are worth it (50 Euros.",2013-03-21,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2403049-Reviews-or60-Alcaravea-Madrid.html,UID_34785,0.0,0.654,0.346,0.9843,0.4541666666666666,0.6395833333333334,0.6008142857142857,363,26,0.071625344352617,0,12,False,13,0.0,0.3,0.4,0.0,0.2,0.0,0.0,0.0,0.1,0.0,64,56,4.6875,0,0,say serv gener portion even half racion babi artichok much one person delici great chees nice garlick salt bake cod portion design two perfectli cook ate absolut complaint except expand waistln thing worth euro,good review,4
42101,42102,Alcaravea,5,Positive,review_154548770,Will Be Hard to Top,My wife and I have been to Madrid numerous times and have been to many of the Restaurants listed in the top 100. In my opinion this was easily the best Restaurant we have eaten at here in Madrid.  As most of the previous posters...,"My wife and I have been to Madrid numerous times and have been to many of the Restaurants listed in the top 100. In my opinion this was easily the best Restaurant we have eaten at here in Madrid. As most of the previous posters have mentioned portion sizes are large, don't worry about trying to figure out the menu. Caesar was our waiter Oscar was working some of the other tables as well. Both of them will explain the specials and recommend ordering portions which will still be too much. Louisa assisted in our service and was outstanding. All of the staff speak good English and make ordering very easy. We ordered 2 starters and two 1/2 portion mains which was too much food still. We had four glasses of wine, one expresso and two after dinner shots bill was 60 euro. Great price for value of meal. A couple should consider 2 starters and one 1/2 portion main. That will be a lot of food.  We had burrata mozzarella as one of our starters exceptional. We had two units of the zucchini flowerette with some kind of reduced vinaigrette. It was splendid.  We had a half portion of beef cheek stew which was similar to braised beef rib. Flavor was terrific meat very tender. Meat was served with small shoestring potatoes and reduced veggies from stew, meal came on a plate. The other main we had was a pork steak cut into small strips which they recommended be cooked on the rare side. Pork was buttery dish was served with piquillo peppers shoestring potatoes with rosemary on top of peppers.  Wine was Tempranillo was very smooth. We could not eat dessert but saw two things come out they looked awesome and we will save room next time for sure.",2013-03-14,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2403049-Reviews-or60-Alcaravea-Madrid.html,UID_23531,0.005,0.867,0.128,0.9862,0.3082633053221288,0.5375233426704016,0.3507333333333334,1651,142,0.0860084797092671,0,28,False,73,0.1,0.16,0.36,0.04,0.2,0.0,0.0,0.02,0.08,0.04,301,190,4.4784053156146175,0,0,wife madrid numer time mani restaur list top opinion easili best restaur eaten madrid previou poster mention portion size larg worri tri figur menu caesar waiter oscar work tabl well explain special recommend order portion still much louisa assist servic outstand staff speak good english make order easi order starter two portion main much food still four glass wine one expresso two dinner shot bill euro great price valu meal coupl consid starter one portion main lot food burrata mozzarella one starter except two unit zucchini flowerett kind reduc vinaigrett splendid half portion beef cheek stew similar brais beef rib flavor terrif meat tender meat serv small shoestr potato reduc veggi stew meal came plate main pork steak cut small strip recommend cook rare side pork butteri dish serv piquillo pepper shoestr potato rosemari top pepper wine tempranillo smooth could eat dessert saw two thing come look awesom save room next time sure,good review,4
42102,42103,Venta_El_Buscon,5,Positive,review_356114367,"Great portions, Great taste, Great price","Been here a few times now and never been disappointed. At busy times you may have to wait to get a table, but it is worth it.  The food is well cooked, and the portion sizes are very generous. Staff have always been friendly. The...","Been here a few times now and never been disappointed. At busy times you may have to wait to get a table, but it is worth it. The food is well cooked, and the portion sizes are very generous. Staff have always been friendly. The price of the food is great as well - amazed you get so much for so little.",2016-03-16,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d990632-Reviews-or100-Venta_El_Buscon-Madrid.html,UID_34786,0.0,0.654,0.346,0.9827,0.0930555555555555,0.3888888888888889,0.240525,303,33,0.1089108910891089,0,8,False,21,0.1,0.2,0.25,0.0,0.2,0.05,0.05,0.0,0.1,0.05,62,47,3.903225806451613,0,0,time never disappoint busi time may wait get tabl worth food well cook portion size gener staff alway friendli price food great well amaz get much littl,very good review,5
