Unnamed: 0,parse_count,restaurant_name,rating_review,sample,review_id,title_review,review_preview,review_full,date,city,url_restaurant,author_id,negative,neutral,positive,overall_sentiment,blob_polarity,blob_subjectivity,sentiment_shift,review_length,num_stop_words,stop_words_ratio,num_exclamations,num_punctuation,url_present,keyword_count,emotion_anticipation,emotion_joy,emotion_positive,emotion_surprise,emotion_trust,emotion_anger,emotion_disgust,emotion_fear,emotion_negative,emotion_sadness,word_count,unique_word_count,mean_word_length,hashtag_count,mention_count,clean_text,predicted_label,predicted_rating,predicted_cuisine
18035,18036,Steakburger_Gran_Via,4,Positive,review_632711188,Great service with friendly atmosphere  ,Good food with great service   From Mis Maria make our diner  excellent experience. They have nice setup and  friendly atmosphere,Good food with great service   From Mis Maria make our diner  excellent experience. They have nice setup and  friendly atmosphere,2018-11-11,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d12581722-Reviews-or320-Steakburger_Gran_Via-Madrid.html,UID_16296,0.0,0.473,0.527,0.9493,0.6950000000000001,0.77,0.1749999999999999,129,7,0.0542635658914728,0,1,False,10,0.1,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,20,20,5.3,0,0,good food great servic mi maria make diner excel experi nice setup friendli atmospher,very good review,5,Spanish
18036,18037,Steakburger_Gran_Via,5,Positive,review_632408496,Great experiance,"Lads weekend away. Wanted some good food and this place exceeded our expectations. Lovely service, very helpful and the suggestions were great.","Lads weekend away. Wanted some good food and this place exceeded our expectations. Lovely service, very helpful and the suggestions were great.",2018-11-10,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d12581722-Reviews-or320-Steakburger_Gran_Via-Madrid.html,UID_16297,0.0,0.564,0.436,0.9312,0.55,0.6000000000000001,0.44995,143,8,0.0559440559440559,0,4,False,9,0.0909090909090909,0.2727272727272727,0.2727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,22,21,5.545454545454546,0,0,lad weekend away want good food place exceed expect love servic help suggest great,very good review,5,American
18037,18038,Steakburger_Gran_Via,5,Positive,review_632123236,Don't think about it just go and enjoy,"Food, service, taste, EXCELLENT. All meat - burger lovers MUST visit this restaurant. Both the OX and the BEEF steaks and burgers are just amazing and cooked EXACTLY as ordered.","Food, service, taste, EXCELLENT. All meat - burger lovers MUST visit this restaurant. Both the OX and the BEEF steaks and burgers are just amazing and cooked EXACTLY as ordered.",2018-11-09,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d12581722-Reviews-or320-Steakburger_Gran_Via-Madrid.html,UID_16298,0.0,0.699,0.301,0.9124,0.6166666666666667,0.7166666666666667,0.0979,177,11,0.0621468926553672,0,7,False,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,27,4.933333333333334,0,0,food servic tast excel meat burger lover must visit restaur ox beef steak burger amaz cook exactli order,very good review,5,Spanish
18038,18039,Steakburger_Gran_Via,4,Positive,review_631019694,Nice Burgers ,"If you fancy a good quality burger meal, then this place is well worth a visit. You can choose your burger - Steak or Ox, the size of your burger, the type of bun and a side order. Even though this place was really busy...","If you fancy a good quality burger meal, then this place is well worth a visit. You can choose your burger - Steak or Ox, the size of your burger, the type of bun and a side order. Even though this place was really busy and we had to wait for a table, the staff were efficient and we didn't wait long for our food. My only complaint would be the toilets, both male and female were dirty, with urine all over the seats and tissue on the floor. Staff need to be checking on them more regularly! ",2018-11-05,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d12581722-Reviews-or320-Steakburger_Gran_Via-Madrid.html,UID_16299,0.048,0.859,0.093,0.5983,0.059090909090909,0.3857808857808857,0.7006000000000001,493,52,0.1054766734279918,1,13,False,22,0.2307692307692307,0.1153846153846153,0.2692307692307692,0.0384615384615384,0.1153846153846153,0.0384615384615384,0.0384615384615384,0.0,0.1538461538461538,0.0,98,74,4.030612244897959,0,0,fanci good qualiti burger meal place well worth visit choos burger steak ox size burger type bun side order even though place realli busi wait tabl staff effici wait long food complaint would toilet male femal dirti urin seat tissu floor staff need check regularli,bad review,2,Italian
18039,18040,Steakburger_Gran_Via,5,Positive,review_631009917,Very good burgers,High quality burgers. Also the french fries are the Best. Delivery time is very short and the waiters are talking English. I highly recommend it.,High quality burgers. Also the french fries are the Best. Delivery time is very short and the waiters are talking English. I highly recommend it.,2018-11-05,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d12581722-Reviews-or320-Steakburger_Gran_Via-Madrid.html,UID_16300,0.0,0.767,0.233,0.7902,0.2199999999999999,0.295,0.5646333333333333,145,9,0.0620689655172413,0,4,False,9,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,25,22,4.84,0,0,high qualiti burger also french fri best deliveri time short waiter talk english highli recommend,very good review,5,American
18040,18041,Inclan_Brutal_Bar,5,Positive,review_645008485,Awesome Neighborhood Gem,"Went to Inclan Brutal Bar, a bit hard to find near the Santa Ana  neighborhood However the food was outstanding Ordered the “a point” steak, the smoked octopus, the bao brutal, the sardines ‘espetao” style. Definitively a hidden gem. Thank you George and staff, it...","Went to Inclan Brutal Bar, a bit hard to find near the Santa Ana neighborhood  However the food was outstanding  Ordered the “a point” steak, the smoked octopus, the bao brutal, the sardines ‘espetao” style. Definitively a hidden gem. Thank you George and staff, it was an awesome experience ",2019-01-10,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10358028-Reviews-or410-Inclan_Brutal_Bar-Madrid.html,UID_16301,0.152,0.68,0.168,0.25,-0.0869047619047619,0.7357142857142857,0.7229,292,16,0.0547945205479452,0,7,False,10,0.0714285714285714,0.2142857142857142,0.2142857142857142,0.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.2142857142857142,0.0,49,41,4.918367346938775,0,0,went inclan brutal bar bit hard find near santa ana neighborhood howev food outstand order point steak smoke octopu bao brutal sardin espetao style definit hidden gem thank georg staff awesom experi,good review,4,Chinese
18041,18042,Taberna_Mas_Al_Sur,5,Positive,review_717086619,Unexpecedly great hospitality!!,"Their food and service were great. The members of the night team - Dianar, Bisell, Miguel and Luis were very fantastic for customers and satisfactory. I hope to visit the Al Sur again!!특히 한국인들에게 거부감 없이 입맛에 맞는 음식을 제공합니다. 음식도 맛있고 서비스도 훌륭합니다....","Their food and service were great. The members of the night team - Dianar, Bisell, Miguel and Luis were very fantastic for customers and satisfactory. I hope to visit the Al Sur again!! 특히 한국인들에게 거부감 없이 입맛에 맞는 음식을 제공합니다. 음식도 맛있고 서비스도 훌륭합니다. 마드리드 여행자들에게 추천합니다.",2019-10-10,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d8396325-Reviews-or200-Taberna_Mas_Al_Sur-Madrid.html,UID_16302,0.0,0.759,0.241,0.9322,0.80625,0.875,0.17506,259,15,0.0579150579150579,2,10,False,6,0.1,0.2,0.3,0.1,0.3,0.0,0.0,0.0,0.0,0.0,48,44,4.416666666666667,0,0,food servic great member night team dianar bisel miguel lui fantast custom satisfactori hope visit al sur,very good review,5,Spanish
18042,18043,Steakburger_Gran_Via,5,Positive,review_639731970,Tastefull,The Restaurante is at a very good location.The Burgers are excellent and the service was very good. Christian was very helpful and polite He suggested us the Best courses.,The Restaurante is at a very good location.The Burgers are excellent and the service was very good. Christian was very helpful and polite He suggested us the Best courses.,2018-12-15,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d12581722-Reviews-or310-Steakburger_Gran_Via-Madrid.html,UID_16303,0.0,0.58,0.42,0.9544,0.6699999999999999,0.5266666666666667,0.0704999999999999,171,15,0.087719298245614,0,3,False,8,0.1176470588235294,0.2352941176470588,0.2941176470588235,0.1176470588235294,0.2352941176470588,0.0,0.0,0.0,0.0,0.0,29,24,4.931034482758621,0,0,restaurant good locat burger excel servic good christian help polit suggest us best cours,very good review,5,French
18043,18044,Inclan_Brutal_Bar,5,Positive,review_648024890,Best place ever!,"The place is so awesome that we came 2 nights in a row. Beautiful, stylish and Very tasty food. The service was outstanding! Thanks especially to Lizandro our bartender (: We will sure come back in our next visit in Madrid. Gracias.","The place is so awesome that we came 2 nights in a row. Beautiful, stylish and Very tasty food. The service was outstanding! Thanks especially to Lizandro our bartender (: We will sure come back in our next visit in Madrid. Gracias.",2019-01-24,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10358028-Reviews-or400-Inclan_Brutal_Bar-Madrid.html,UID_16304,0.0,0.622,0.378,0.9714,0.3875,0.6263888888888889,0.2911999999999999,232,18,0.0775862068965517,1,8,False,14,0.0,0.1818181818181818,0.3636363636363636,0.0,0.1818181818181818,0.0909090909090909,0.0,0.0,0.1818181818181818,0.0,42,38,4.5476190476190474,0,0,place awesom came night row beauti stylish tasti food servic outstand thank especi lizandro bartend sure come back next visit madrid gracia,very good review,5,Spanish
18044,18045,Steakburger_Gran_Via,5,Positive,review_663556417,Good food,The food is good. I enjoyed eating here. I like tey ox burger. The waiter is pushy to do this review,The food is good. I enjoyed eating here. I like tey ox burger. The waiter is pushy to do this review,2019-04-03,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d12581722-Reviews-or260-Steakburger_Gran_Via-Madrid.html,UID_16305,0.076,0.612,0.313,0.765,0.6,0.65,0.2846666666666667,100,9,0.09,0,3,False,6,0.125,0.25,0.25,0.125,0.25,0.0,0.0,0.0,0.0,0.0,21,18,3.8095238095238098,0,0,food good enjoy eat like tey ox burger waiter pushi review,good review,4,Spanish
