Unnamed: 0,parse_count,restaurant_name,rating_review,sample,review_id,title_review,review_preview,review_full,date,city,url_restaurant,author_id,negative,neutral,positive,overall_sentiment,blob_polarity,blob_subjectivity,sentiment_shift,review_length,num_stop_words,stop_words_ratio,num_exclamations,num_punctuation,url_present,keyword_count,emotion_anticipation,emotion_joy,emotion_positive,emotion_surprise,emotion_trust,emotion_anger,emotion_disgust,emotion_fear,emotion_negative,emotion_sadness,word_count,unique_word_count,mean_word_length,hashtag_count,mention_count,clean_text,predicted_label,predicted_rating
0,1,Sushi_Yakuza,4,Positive,review_731778139,Good sushi option,"The menu of Yakuza is a bit of a lottery, some plates are really good (like most of the sushi rolls) and instead some others are terrible ( the pizza sushi and most of the fried starters). Taking this in consideration, it´s a great option...","The menu of Yakuza is a bit of a lottery, some plates are really good (like most of the sushi rolls) and instead some others are terrible ( the pizza sushi and most of the fried starters). Taking this in consideration, it´s a great option if you feel like sushi and can avoid ordering from the rest of the menu. We even ordered for delivery more than once and the packaging they use is great.",2019-12-10,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d17815309-Reviews-Sushi_Yakuza-Madrid.html,UID_0,0.059,0.756,0.185,0.9076,0.3999999999999999,0.6571428571428571,0.1296999999999999,392,39,0.0994897959183673,0,9,False,13,0.1764705882352941,0.0588235294117647,0.2352941176470588,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.1176470588235294,0.1176470588235294,0.0588235294117647,75,55,4.24,0,0,menu yakuza bit lotteri plate realli good like sushi roll instead other terribl pizza sushi fri starter take consider great option feel like sushi avoid order rest menu even order deliveri packag use great,very good,5
10,11,Azotea_Forus_Barcelo,1,Negative,review_766657436,Light up your table at night,Check your bill when you cancel just in case you get an extra charge surprise on it   There are no more words to describe my experience when I was there. Sad and poor experience!! Never return! Never again,Check your bill when you cancel just in case you get an extra charge surprise on it   There are no more words to describe my experience when I was there. Sad and poor experience!! Never return! Never again,2020-08-23,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,UID_1,0.243,0.712,0.045,-0.8472,-0.3828125,0.55,0.4270666666666667,205,20,0.0975609756097561,3,4,False,5,0.0,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.0,0.0833333333333333,0.0,0.1666666666666666,0.25,0.1666666666666666,38,35,4.368421052631579,0,0,check bill cancel case get extra charg surpris word describ experi sad poor experi never return never,bad,2
11,12,Level_Veggie_Bistro,5,Positive,review_749493592,Delicious,"I had the yuca profiteroles and the veggie burger, by recommendation of the server. It was absolutely delicious and the service was outstanding. I will definitely be back again with friends !","I had the yuca profiteroles and the veggie burger, by recommendation of the server. It was absolutely delicious and the service was outstanding. I will definitely be back again with friends !",2020-03-06,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10451094-Reviews-Level_Veggie_Bistro-Madrid.html,UID_2,0.0,0.634,0.366,0.9391,0.5,0.625,0.41275,191,18,0.094240837696335,1,4,False,6,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,32,26,5.0,0,0,yuca profiterol veggi burger recommend server absolut delici servic outstand definit back friend,very good,5
12,13,Sto_Globo_Sushi_Room,5,Positive,review_772422246,Loved this place ,A friend recommended this place as one of the best sushi he’d ever tried so we booked a table and we agree! Everything we tried was delicious. From the sautéed edamame with truffle oil to the flambeéd salmon niguiri. The tuna tartare was one of...,"A friend recommended this place as one of the best sushi he’d ever tried so we booked a table and we agree! Everything we tried was delicious. From the sautéed edamame with truffle oil to the flambeéd salmon niguiri. The tuna tartare was one of the best we’ve ever had, so much so that we still talk about it 6 months after visiting. The place itself is very small but they have made good use of the space and made it very comfortable and stylish. ",2020-09-29,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d16745406-Reviews-Sto_Globo_Sushi_Room-Madrid.html,UID_3,0.0,0.779,0.221,0.963,0.5743750000000001,0.615,0.441725,448,41,0.0915178571428571,1,6,False,20,0.0769230769230769,0.2307692307692307,0.3846153846153846,0.0769230769230769,0.1538461538461538,0.0,0.0,0.0,0.0769230769230769,0.0,85,62,4.270588235294118,0,0,friend recommend place one best sushi ever tri book tabl agre everyth tri delici saut ed edamam truffl oil flamb salmon niguiri tuna tartar one best ever much still talk month visit place small made good use space made comfort stylish,very good,5
13,14,Azotea_Forus_Barcelo,5,Positive,review_761855600,Amazing terrace in madrid,Amazing terrace in madrid - great atmosphere and great wine 🍷 Thanks to our bartender Ariel for such a good experience.,Amazing terrace in madrid - great atmosphere and great wine 🍷 Thanks to our bartender Ariel for such a good experience.,2020-07-27,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,UID_4,0.0,0.489,0.511,0.9571,0.5166666666666667,0.6166666666666667,0.0,119,7,0.0588235294117647,0,2,False,8,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,21,20,4.714285714285714,0,0,amaz terrac madrid great atmospher great wine thank bartend ariel good experi,very good,5
14,15,Azotea_Forus_Barcelo,5,Positive,review_759144751,The less impressive terrace of the group but best price ,"Adriana is very nice , friendly She is Colombian The price is superb like 13 euros for drink  soup  fish and chocolate  cake The place is  fresh The azotea group has like 4 places in Madrid nubel lovely in the museum reina Sofía . Picalagartos...","Adriana is very nice , friendly  She is Colombian  The price is superb like 13 euros for drink soup fish and chocolate cake  The place is fresh  The azotea group has like 4 places in Madrid nubel lovely in the museum reina Sofía . Picalagartos the best Madrid view , the bellas artes terrace lovely but not as good as picalagartos.  Azotea forus is the less impressive  But Adriana is corteous that help a lot  Go imagine Adriana in other location  The chocolate cake was perfect ",2020-07-06,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,UID_5,0.029,0.675,0.296,0.9773,0.5719444444444445,0.6534722222222222,0.70495,480,31,0.0645833333333333,0,4,False,22,0.2,0.2,0.2571428571428571,0.0857142857142857,0.2,0.0,0.0,0.0,0.0,0.0571428571428571,86,64,4.488372093023256,0,0,adriana nice friendli colombian price superb like euro drink soup fish chocol cake place fresh azotea group like place madrid nubel love museum reina sof picalagarto best madrid view bella art terrac love good picalagarto azotea foru less impress adriana corteou help lot go imagin adriana locat chocol cake perfect,very good,5
15,16,Azotea_Forus_Barcelo,5,Positive,review_748945988,Great Atmosphere,"I had a great dinner here with a large group. It has great views of Madrid, and reasonably priced drinks for a rooftop bar.","I had a great dinner here with a large group. It has great views of Madrid, and reasonably priced drinks for a rooftop bar.",2020-03-03,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,UID_6,0.0,0.728,0.272,0.8481,0.5035714285714286,0.6321428571428571,0.0,123,12,0.0975609756097561,0,3,False,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,21,4.166666666666667,0,0,great dinner larg group great view madrid reason price drink rooftop bar,very good,5
16,17,Azotea_Forus_Barcelo,5,Positive,review_748320968,Great environment,"Had a great time here, and the service was fabulous. Ariel looked after us extremely well and would definitely recommend.","Had a great time here, and the service was fabulous. Ariel looked after us extremely well and would definitely recommend.",2020-02-29,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,UID_7,0.0,0.498,0.502,0.9336,0.26875,0.8125,0.0531,121,7,0.0578512396694214,0,3,False,10,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,20,19,5.1,0,0,great time servic fabul ariel look us extrem well would definit recommend,very good,5
17,18,Azotea_Forus_Barcelo,5,Positive,review_748320830,Fantastic roof terrace with great service,"We really enjoyed our trip to Azotea Forus Barcelo for drinks outside on the terrace. Great heaters and lovely Verdejo, attentive service in particular from Ariel who was un encanto!","We really enjoyed our trip to Azotea Forus Barcelo for drinks outside on the terrace. Great heaters and lovely Verdejo, attentive service in particular from Ariel who was un encanto!",2020-02-29,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,UID_8,0.0,0.696,0.304,0.915,0.4013888888888889,0.5805555555555556,0.2915,182,12,0.0659340659340659,1,3,False,9,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,30,30,5.1,0,0,realli enjoy trip azotea foru barcelo drink outsid terrac great heater love verdejo attent servic particular ariel un encanto,very good,5
18,19,Azotea_Forus_Barcelo,5,Positive,review_748320597,Stunning outside bar,Great views and service. Ariel was great help keeping us all warm with the heater as the weather a little cold.,Great views and service. Ariel was great help keeping us all warm with the heater as the weather a little cold.,2020-02-29,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,UID_9,0.0,0.57,0.43,0.9153,0.2825,0.72,0.2021999999999999,111,8,0.072072072072072,0,2,False,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21,20,4.333333333333333,0,0,great view servic ariel great help keep us warm heater weather littl cold,very good,5
19,20,Level_Veggie_Bistro,5,Positive,review_748184404,Simply fabulous,"My family and I (myself, my wife, two adult children) were visiting Madrid for a short break. We are all vegetarians so we had done some research and had a list of places to try. By the end of 5 days we had eaten in...","My family and I (myself, my wife, two adult children) were visiting Madrid for a short break. We are all vegetarians so we had done some research and had a list of places to try. By the end of 5 days we had eaten in 9 vegan/vegetarian restaurants (there is so much choice in Madrid, which is great!) and they were all good in terms of the food. However I have to say that Level Bistro was by far and away the best. Everything was just so good; the restaurant itself was modern with simple but elegant decor, the service was exemplary and the quality of the food outstanding, both in terms of taste and presentation. While not the cheapest place to eat, the price was very reasonable given the quality of the experience; I have paid a lot more for less good meals! We all really enjoyed our meal and would certainly recommend Level Bistro to anyone who wants a great vegan/vegetarian meal, superbly presented. Thank you! Next time I am Madrid I will certainly visit again.",2020-02-28,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10451094-Reviews-Level_Veggie_Bistro-Madrid.html,UID_10,0.0,0.778,0.222,0.9936,0.4085610766045548,0.5313768115942029,0.3092222222222222,971,89,0.0916580844490216,3,25,False,42,0.1176470588235294,0.2058823529411764,0.3529411764705882,0.1176470588235294,0.1764705882352941,0.0,0.0,0.0,0.0294117647058823,0.0,178,120,4.46067415730337,0,0,famili wife two adult children visit madrid short break vegetarian done research list place tri end day eaten vegan vegetarian restaur much choic madrid great good term food howev say level bistro far away best everyth good restaur modern simpl eleg decor servic exemplari qualiti food outstand term tast present cheapest place eat price reason given qualiti experi paid lot less good meal realli enjoy meal would certainli recommend level bistro anyon want great vegan vegetarian meal superbl present thank next time madrid certainli visit,very good,5
