Unnamed: 0,parse_count,restaurant_name,rating_review,sample,review_id,title_review,review_preview,review_full,date,city,url_restaurant,author_id,negative,neutral,positive,overall_sentiment,blob_polarity,blob_subjectivity,sentiment_shift,review_length,num_stop_words,stop_words_ratio,num_exclamations,num_punctuation,url_present,keyword_count,emotion_anticipation,emotion_joy,emotion_positive,emotion_surprise,emotion_trust,emotion_anger,emotion_disgust,emotion_fear,emotion_negative,emotion_sadness,word_count,unique_word_count,mean_word_length,hashtag_count,mention_count,clean_text,predicted_label,predicted_rating
32063,32064,Juana_La_Loca,4,Positive,review_126375720,"Alone or with friends, this place remains top notch for tapas and meals!","It had been a few years, but I remembered the solomillo al whiskey as being especially good, and after some tasty navajas a la plancha at Bar Cruz on c/Maldonados, we wanted something more substantial. So we walked over to Juana la Loca. WOW is...","It had been a few years, but I remembered the solomillo al whiskey as being especially good, and after some tasty navajas a la plancha at Bar Cruz on c/Maldonados, we wanted something more substantial. So we walked over to Juana la Loca. WOW is the food there ever holding up! The chefs work in the ""new"" tapas style (not so new anymore, but still scrumptious), influenced by Spain's culinary revolution of the late 90s. We shared a generous ración of squid ink fideos with a wonderful onion-calamari marmelade (out of this world), a plate of cantabrian anchovies that were enormous, and dense and rich (again, fabulous), and a bottle of 2008 Emilio Moro Ribera del Duero that kept the conversation running late into the night. As always, the service was friendly and helpful. A new touch I liked: one or two people in there, eating on their own. That's still sort of hard to find in this town. So add Juana la Loca to the list of places that work for one (if you're hungry: the place is primarily raciones, not small tapas). Important note: Juana la Loca is CASH ONLY! The atms nearby seem safe to use, despite the rowdy, usually very drunken, juerga that gets going in the plaza in the evenings. Do practice the usual cautions against pickpockets. Metro La Latina close by.",2012-03-20,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d779707-Reviews-or510-Juana_La_Loca-Madrid.html,UID_27676,0.014,0.781,0.205,0.9955,0.2266969696969697,0.6242121212121213,0.3380249999999999,1275,97,0.076078431372549,2,46,False,32,0.0816326530612244,0.1428571428571428,0.2653061224489796,0.0612244897959183,0.1836734693877551,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.1428571428571428,0.0612244897959183,227,170,4.621145374449339,0,0,year rememb solomillo al whiskey especi good tasti navaja la plancha bar cruz c maldonado want someth substanti walk juana la loca wow food ever hold chef work new tapa style new anymor still scrumptiou influenc spain culinari revolut late share gener raci n squid ink fideo wonder onion calamari marmelad world plate cantabrian anchovi enorm dens rich fabul bottl emilio moro ribera del duero kept convers run late night alway servic friendli help new touch like one two peopl eat still sort hard find town add juana la loca list place work one hungri place primarili racion small tapa import note juana la loca cash atm nearbi seem safe use despit rowdi usual drunken juerga get go plaza even practic usual caution pickpocket metro la latina close,average review,3
32064,32065,Juana_La_Loca,4,Positive,review_124993321,Wonderfully crazy tapas in Madrid,This is a tiny place with great tapas that gets easily crowded and noisy after 1pm. Also it's hard to get the waiters' attention when the place is full. You should be ale to avoid the crowds if you go around midday. They have amazing...,"This is a tiny place with great tapas that gets easily crowded and noisy after 1pm. Also it's hard to get the waiters' attention when the place is full. You should be ale to avoid the crowds if you go around midday.  They have amazing gourmet tapas, warm or cold, simple or elaborated. The ingredients are wonderfully fresh and the combinations creative. We highly recommend the montadito of tortilla with caramelised onion and the mushrooms with truffle oil.",2012-02-21,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d779707-Reviews-or510-Juana_La_Loca-Madrid.html,UID_27677,0.055,0.695,0.25,0.9628,0.2376388888888888,0.6726785714285715,0.51212,459,35,0.0762527233115468,0,10,False,15,0.0,0.0769230769230769,0.3846153846153846,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,0.0769230769230769,0.2307692307692307,0.0,78,65,4.884615384615385,0,0,tini place great tapa get easili crowd noisi pm also hard get waiter attent place full ale avoid crowd go around midday amaz gourmet tapa warm cold simpl elabor ingredi wonder fresh combin creativ highli recommend montadito tortilla caramelis onion mushroom truffl oil,good review,4
32065,32066,Juana_La_Loca,5,Positive,review_124702926,Great place for tapas ... highly recommended,Great place for tapas ... highly recommended ... special the tapas with soft shell crab !,Great place for tapas ... highly recommended ... special the tapas with soft shell crab !,2012-02-17,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d779707-Reviews-or510-Juana_La_Loca-Madrid.html,UID_27678,0.0,0.579,0.421,0.8573,0.3605357142857143,0.5528571428571428,0.0,89,3,0.0337078651685393,1,7,False,7,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,16,14,4.625,0,0,great place tapa highli recommend special tapa soft shell crab,good review,4
32066,32067,Taberna_el_Sur,5,Positive,review_617000994,Amazing food & vibe,Got a paella and octopus. Best I’ve had on this trip. Super fast service. Friendly waiters. Only regret is not discovering this earlier. A must visit in Madrid.,Got a paella and octopus. Best I’ve had on this trip. Super fast service. Friendly waiters. Only regret is not discovering this earlier. A must visit in Madrid.,2018-09-16,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2527526-Reviews-or850-Taberna_el_Sur-Madrid.html,UID_27679,0.073,0.63,0.297,0.8591,0.3180555555555555,0.5944444444444444,0.42336,160,11,0.06875,0,6,False,11,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,28,27,4.75,0,0,got paella octopu best trip super fast servic friendli waiter regret discov earlier must visit madrid,good review,4
32067,32068,Taberna_el_Sur,4,Positive,review_616874268,Really good food and service,Tried this place for lunch as it had been recommended by a friend who visited Madrid last year. What a great place this is. The food is so good and the service exceptionally friendly and efficient from our waiter Jhoan. Superior tapas away from the...,Tried this place for lunch as it had been recommended by a friend who visited Madrid last year. What a great place this is. The food is so good and the service exceptionally friendly and efficient from our waiter Jhoan. Superior tapas away from the tourist traps. Paella and grilled squid were delicious and very reasonably priced. Would have returned if we had longer in Madrid.,2018-09-16,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2527526-Reviews-or850-Taberna_el_Sur-Madrid.html,UID_23301,0.0,0.686,0.314,0.979,0.5478571428571428,0.6566666666666666,0.2426799999999999,379,31,0.0817941952506596,0,6,False,21,0.1428571428571428,0.238095238095238,0.2857142857142857,0.0476190476190476,0.238095238095238,0.0,0.0,0.0,0.0476190476190476,0.0,66,57,4.757575757575758,0,0,tri place lunch recommend friend visit madrid last year great place food good servic except friendli effici waiter jhoan superior tapa away tourist trap paella grill squid delici reason price would return longer madrid,good review,4
32068,32069,Taberna_el_Sur,5,Positive,review_616800401,Excellent food and service! ,Highly recommend- the food was fantastic (must order the musaka) and Gilbet provided the best service. Went twice during my stay in Madrid!,Highly recommend- the food was fantastic (must order the musaka) and Gilbet provided the best service. Went twice during my stay in Madrid!,2018-09-15,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2527526-Reviews-or850-Taberna_el_Sur-Madrid.html,UID_3971,0.0,0.648,0.352,0.8976,0.52,0.58,0.8908,139,8,0.0575539568345323,1,5,False,10,0.0,0.2,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,23,21,5.086956521739131,0,0,highli recommend food fantast must order musaka gilbet provid best servic went twice stay madrid,very good review,5
32069,32070,Juana_La_Loca,4,Positive,review_134144821,Good Food,Stopped for a quick caña and tapas and was pleasantly surprised! Good food.,Stopped for a quick caña and tapas and was pleasantly surprised! Good food.,2012-07-11,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d779707-Reviews-or500-Juana_La_Loca-Madrid.html,UID_17589,0.1,0.471,0.429,0.7424,0.386111111111111,0.6666666666666666,0.0850999999999999,75,5,0.0666666666666666,1,2,False,4,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,13,12,4.846153846153846,0,0,stop quick ca tapa pleasantli surpris good food,good review,4
32070,32071,Juana_La_Loca,5,Positive,review_131684817,Yummy Sunday Lunch,We went here in the strength of previous reviews and a Lonely Planet recommendation. I would reassert the previous positive comments and in particular the recommendation of the tortilla. This is a lovely little tapas bar where the locals jostle at the bar and tourists...,"We went here in the strength of previous reviews and a Lonely Planet recommendation. I would reassert the previous positive comments and in particular the recommendation of the tortilla. This is a lovely little tapas bar where the locals jostle at the bar and tourists like ourselves were happy to have table service. There is a good selection of wine by the glass which is clearly displayed on a chalkboard behind the counter.  As well as the tortilla we had the egg on the truffle that others have talked about, excellent also. The price was slightly more than that for similar food elsewhere however quality, freshness and presentation made it worth it! It is suitable for a snack or a full meal.",2012-06-10,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d779707-Reviews-or500-Juana_La_Loca-Madrid.html,UID_27680,0.017,0.771,0.211,0.9796,0.2498885918003565,0.5379679144385027,0.2685166666666667,699,61,0.0872675250357653,1,9,False,26,0.1153846153846153,0.1923076923076923,0.3461538461538461,0.0769230769230769,0.2307692307692307,0.0,0.0,0.0,0.0,0.0384615384615384,122,92,4.729508196721311,0,0,went strength previou review lone planet recommend would reassert previou posit comment particular recommend tortilla love littl tapa bar local jostl bar tourist like happi tabl servic good select wine glass clearli display chalkboard behind counter well tortilla egg truffl other talk excel also price slightli similar food elsewher howev qualiti fresh present made worth suitabl snack full meal,good review,4
32071,32072,Juana_La_Loca,5,Positive,review_131467566,Enjoy the best tortilla in Madrid!,"The place is located in La Latina, a super popular neighborhood in Madrid, characterized by a lot of tapas bar to enjoy the exciting nightlife in Madrid.  it is not a very big place so if you go there in the week ends it can...","The place is located in La Latina, a super popular neighborhood in Madrid, characterized by a lot of tapas bar to enjoy the exciting nightlife in Madrid. it is not a very big place so if you go there in the week ends it can be very crowded! You can also seat down and have a nice meal, but don´t expect the place to quiet... It´s full of local people who tend to shout a lot when they speak, but that will not ruin the gastronomic experience. You´ll fall in love with the tortilla!!! Try also the duck ham pincho, and every other pincho they can offer. If you want to have a meal please do pay attention at what the guys there offer as the plate of the day! You won't be disappointed!!!",2012-06-07,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d779707-Reviews-or500-Juana_La_Loca-Madrid.html,UID_27681,0.01,0.799,0.19,0.9791,0.1784350198412698,0.5100579975579975,0.4766428571428571,686,72,0.1049562682215743,8,20,False,29,0.1388888888888889,0.1111111111111111,0.2777777777777778,0.0833333333333333,0.0833333333333333,0.0555555555555555,0.0277777777777777,0.0277777777777777,0.0833333333333333,0.1111111111111111,134,94,4.126865671641791,0,0,place locat la latina super popular neighborhood madrid character lot tapa bar enjoy excit nightlif madrid big place go week end crowd also seat nice meal expect place quiet full local peopl tend shout lot speak ruin gastronom experi fall love tortilla tri also duck ham pincho everi pincho offer want meal pleas pay attent guy offer plate day disappoint,good review,4
32072,32073,Taberna_el_Sur,5,Positive,review_402947720,Dinner,"Nice and cosy bar, not many tables, mostly sitting at the bar. Many tapas, great sangria, friendly waiters. I recommend it for nice evening with friends","Nice and cosy bar, not many tables, mostly sitting at the bar. Many tapas, great sangria, friendly waiters. I recommend it for nice evening with friends",2016-08-08,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2527526-Reviews-or1940-Taberna_el_Sur-Madrid.html,UID_15382,0.0,0.519,0.481,0.9552,0.4464285714285715,0.6785714285714286,0.19555,152,8,0.0526315789473684,0,6,False,15,0.1428571428571428,0.1428571428571428,0.4285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,26,26,4.884615384615385,0,0,nice cosi bar mani tabl mostli sit bar mani tapa great sangria friendli waiter recommend nice even friend,good review,4
