Unnamed: 0,parse_count,restaurant_name,rating_review,sample,review_id,title_review,review_preview,review_full,date,city,url_restaurant,author_id,negative,neutral,positive,overall_sentiment,blob_polarity,blob_subjectivity,sentiment_shift,review_length,num_stop_words,stop_words_ratio,num_exclamations,num_punctuation,url_present,keyword_count,emotion_anticipation,emotion_joy,emotion_positive,emotion_surprise,emotion_trust,emotion_anger,emotion_disgust,emotion_fear,emotion_negative,emotion_sadness,word_count,unique_word_count,mean_word_length,hashtag_count,mention_count,clean_text,predicted_label,predicted_rating,predicted_cuisine
74450,74451,Ojala,4,Positive,review_347675207,Great place for brunch,"Delicious, fresh food.Great variety of options and something to please everyone (especially for those tiring of a constant diet of patatas bravas and jamon). Took a little while to be greeted and seated but once we were the service was excellent.","Delicious, fresh food.Great variety of options and something to please everyone (especially for those tiring of a constant diet of patatas bravas and jamon). Took a little while to be greeted and seated but once we were the service was excellent.",2016-02-14,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d794378-Reviews-or170-Ojala-Madrid.html,UID_28784,0.0,0.746,0.254,0.882,0.3520833333333333,0.7222222222222223,0.0423999999999999,246,20,0.08130081300813,0,6,False,11,0.0,0.2,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,41,35,5.024390243902439,0,0,delici fresh food great varieti option someth pleas everyon especi tire constant diet patata brava jamon took littl greet seat servic excel,good review,4,Mexican
74451,74452,Ojala,5,Positive,review_347608613,Best breakfast ever 😊,After the surprise of the amazing decorations you can savurate an amazing breakfast and good coffee as well. The prices are also good to. The terrace is really nice to in the sunny days.Great place 😊😊,After the surprise of the amazing decorations you can savurate an amazing breakfast and good coffee as well. The prices are also good to. The terrace is really nice to in the sunny days.Great place 😊😊,2016-02-14,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d794378-Reviews-or170-Ojala-Madrid.html,UID_38514,0.0,0.482,0.518,0.9867,0.64,0.8,0.4993999999999999,200,16,0.08,0,3,False,11,0.1578947368421052,0.2105263157894736,0.2631578947368421,0.2105263157894736,0.1052631578947368,0.0,0.0,0.0526315789473684,0.0,0.0,36,31,4.583333333333333,0,0,surpris amaz decor savur amaz breakfast good coffe well price also good terrac realli nice sunni day great place,good review,4,Indian
74452,74453,Los_Galayos,3,Negative,review_553216598,A little disappointed with the suckling pig,On the whole we had good service. Sat downstairs which has a nice ambience. In our group one of us ordered the traditional starter dish of  grapes  & breadcrumbs which was very dry & different to anything any of us has ever had before. You...,"On the whole we had good service. Sat downstairs which has a nice ambience. In our group one of us ordered the traditional starter dish of grapes & breadcrumbs which was very dry & different to anything any of us has ever had before. You only need to try it once. 3 of us had the suckling pig which was smaller than we have had elsewhere. It was also softer than we have had before because it is boiled, the skin is also soft not at all like the usual crackling, which for my personal taste made it all too fatty, although the meat itself was juicy & tasty. No vegetables with any of dishes. Old school cuisine",2018-01-11,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d991050-Reviews-or140-Los_Galayos-Madrid.html,UID_19673,0.035,0.919,0.046,0.3378,0.0894871794871795,0.5484615384615384,0.1474857142857142,610,62,0.101639344262295,0,13,False,24,0.0625,0.0625,0.25,0.0625,0.25,0.0,0.125,0.0,0.125,0.0625,118,83,4.177966101694915,0,0,whole good servic sat downstair nice ambienc group one us order tradit starter dish grape breadcrumb dri differ anyth us ever need tri us suckl pig smaller elsewher also softer boil skin also soft like usual crackl person tast made fatti although meat juici tasti veget dish old school cuisin,good review,4,Spanish
74453,74454,Los_Galayos,4,Positive,review_552252995,Real Spanish food Close to the Plaza Mayor- Recommended by our Tour guide,We did not have a reservation for Xmas Day and our tour guide was able to get us a last minute reservation at this restaurant because we were willing to eat early. It is just off the Plaza Mayor and we felt very lucky to...,"We did not have a reservation for Xmas Day and our tour guide was able to get us a last minute reservation at this restaurant because we were willing to eat early. It is just off the Plaza Mayor and we felt very lucky to be able to eat here on Xmas day. It was full with locals eating their Xmas traditional spanish dinners. We just ordered the usual Spanish stuff- Paella etc. We did not have any of the tradiitional pig though. We liked it all and had everything from soup to dessert. It is very nice, although we were a bit underdressed as we went last minute. Service was more formal and generally helpful.",2018-01-07,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d991050-Reviews-or140-Los_Galayos-Madrid.html,UID_54539,0.0,0.905,0.095,0.8953,0.2383333333333333,0.4864583333333333,0.2114428571428571,610,62,0.101639344262295,0,10,False,27,0.0,0.1176470588235294,0.5294117647058824,0.0588235294117647,0.1764705882352941,0.0,0.0588235294117647,0.0,0.0588235294117647,0.0,116,82,4.267241379310345,0,0,reserv xma day tour guid abl get us last minut reserv restaur will eat earli plaza mayor felt lucki abl eat xma day full local eat xma tradit spanish dinner order usual spanish stuff paella etc tradiit pig though like everyth soup dessert nice although bit underdress went last minut servic formal gener help,very good review,5,Spanish
74454,74455,Los_Galayos,1,Negative,review_545070803,QUÉ VERGUENZA RESTAURANTE LOS GALAYOS!!!,"The hotel where I was staying recommended this eatery as pleasant with good food. They were wrong big time on both counts. Reviewing the menu, myself and my partner  found it challenging to find a dish that wouldn't require our intestinal tracks to work overtime...","The hotel where I was staying recommended this eatery as pleasant with good food. They were wrong big time on both counts. Reviewing the menu, myself and my partner found it challenging to find a dish that wouldn't require our intestinal tracks to work overtime during the night, thus depriving us of a full night's sleep. Heavy, sleep deprivation dishes. So we opted for what we considered would be a pleasant pre-sleep light dish - salmon with a mushroom risotto. Ooops...... The presentation was acceptable, but as they say, never judge a book by its cover.... The first ‘fork-au-fish into our mouths sent alarm bells ringing. It didn't taste of fish. ' Weird ' I thought to myself, 'it sure looks pink and looks like salmon'. We challenged ourselves again to taste the oddly tasting pink coloured square .... we nearly barfed. The 'thing' tasted old, bordering on putrefaction. We dove into the mushroom risotto. Bad move. It tasted even worse - if that was even possible.... We reached for water to save ourselves from a potential catastrophe at the table. Knife and fork where repositioned back on the plates in a fashion like a castaway on an island places objects on the sand to spell 'SOS'. This was our ‘SOS’…… The waitress came. She was a sweet lady from the Philippines. She looked concerned as she removed the plates. 'Sir it was not good?' she asked as she looked downwards. This was clearly a rhetorical question as the plate had barely been touched. We shook our heads. She continued to look down, winced a smile, and removed the sad offering. We asked for the menu and chose a salad. Well you can’t screw up lettuce..... can you? 10 minutes later our Philippines waitress reappeared and asked if we would be paying for the piscine debacle as if we didn’t, her boss (read ‘ slave owner’) would deduct the cost from her salary. Tears welled in her eyes as she looked for comfort from us. ’Of course we will pay’ we retorted. With tears in her eyes, she smiled, thanked us profusely and looked down sheepishly. She was clearly scared and had clearly been threatened by someone. Fast forward to today and I read with extreme disappointment and anger that the manager of said restaurant had fired the sweet waitress on account of our returning the inedible food. This is totally unacceptable and I would urge the general public to avoid this restaurant until said employee is reinstated. This is a total abuse of authority and is unacceptable in the year 2017. Shame on you Los Galayos and shame on you the Manager!!!",2017-12-04,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d991050-Reviews-or140-Los_Galayos-Madrid.html,UID_54540,0.167,0.714,0.119,-0.9869,0.0305555555555555,0.523643410852713,0.3957714285714286,2529,201,0.0794780545670225,3,90,False,62,0.1015625,0.1171875,0.1796875,0.0703125,0.15625,0.0390625,0.046875,0.078125,0.125,0.0859375,443,270,4.711060948081264,0,0,hotel stay recommend eateri pleasant good food wrong big time count review menu partner found challeng find dish requir intestin track work overtim night thu depriv us full night sleep heavi sleep depriv dish opt consid would pleasant pre sleep light dish salmon mushroom risotto ooop present accept say never judg book cover first fork au fish mouth sent alarm bell ring tast fish weird thought sure look pink look like salmon challeng tast oddli tast pink colour squar nearli barf thing tast old border putrefact dove mushroom risotto bad move tast even wors even possibl reach water save potenti catastroph tabl knife fork reposit back plate fashion like castaway island place object sand spell so so waitress came sweet ladi philippin look concern remov plate sir good ask look downward clearli rhetor question plate bare touch shook head continu look winc smile remov sad offer ask menu chose salad well screw lettuc minut later philippin waitress reappear ask would pay piscin debacl boss read slave owner would deduct cost salari tear well eye look comfort us cours pay retort tear eye smile thank us profus look sheepishli clearli scare clearli threaten someon fast forward today read extrem disappoint anger manag said restaur fire sweet waitress account return ined food total unaccept would urg gener public avoid restaur said employe reinstat total abus author unaccept year shame lo galayo shame manag,very bad review,1,Spanish
74455,74456,Los_Galayos,5,Positive,review_169066941,Another centenary one...,This one dates back to 1894! A bit more fancy than the Botín but the food is equally tasty. We had the grilled Chuletón de Buey on the hot plate. Amazing! Se service was good. There are many different environments to choose from. We stayed...,This one dates back to 1894! A bit more fancy than the Botín but the food is equally tasty. We had the grilled Chuletón de Buey on the hot plate. Amazing! Se service was good. There are many different environments to choose from. We stayed at Salón Ávila but there are other 4.,2013-07-25,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d991050-Reviews-or430-Los_Galayos-Madrid.html,UID_16832,0.0,0.841,0.159,0.8918,0.2861111111111111,0.5083333333333333,0.2079666666666666,277,26,0.0938628158844765,2,7,False,13,0.1428571428571428,0.2142857142857142,0.3571428571428571,0.0714285714285714,0.1428571428571428,0.0714285714285714,0.0,0.0,0.0,0.0,53,46,4.245283018867925,0,0,one date back bit fanci bot n food equal tasti grill chulet n de buey hot plate amaz se servic good mani differ environ choos stay sal n vila,good review,4,Mexican
74456,74457,Los_Galayos,4,Positive,review_166220159,"Good food, relaxed service, amuse bouche and apertif gratis","We loved sitting in the Plaza Mayor.  We heard not to order the daily menu, so we ordered al a carte.  We were provided with two gratis amuse bouche - fresh olives and a potato salad with lemon and peas.  Very tasty and enough to...","We loved sitting in the Plaza Mayor. We heard not to order the daily menu, so we ordered al a carte. We were provided with two gratis amuse bouche - fresh olives and a potato salad with lemon and peas. Very tasty and enough to awaken the palate with a taste of the local cava. The appetizers were the salted cod (bacala), tempura fried. It was excellent and very tasty. This fish has a subtle favor, as it has been first preserved by drying it with salt, It is reconstituted by soaking it in water. Then it's cooked. The end result is a delicate flavor that pairs well with most light whites the Spanish are famous for. The other appetizer was seared foie gras with an onion chutney and Pedro Ximinez reduction. Those who love paring foie and sauterne will find this dish delightful and exciting, as did we. Paired it with a glass of house Sangria. We split an order of suckling pig, which as melt in your mouth good. The skin was crispy and chewy without being the least bit rubbery. More Sangria. We skipped dessert, but were offered a spice and fruit infused grappa that was a perfect digestive for such a rich meal. Not diet food, but we don't count calories when on holiday. Recommend it, and will do it again if ever in Madrid.",2013-07-03,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d991050-Reviews-or430-Los_Galayos-Madrid.html,UID_33914,0.0,0.843,0.157,0.9869,0.2946666666666667,0.5543333333333333,0.4576117647058824,1233,113,0.0916463909164639,0,32,False,36,0.1590909090909091,0.2045454545454545,0.3181818181818182,0.0681818181818181,0.1363636363636363,0.0,0.0454545454545454,0.0,0.0681818181818181,0.0,229,164,4.388646288209607,0,0,love sit plaza mayor heard order daili menu order al cart provid two grati amus bouch fresh oliv potato salad lemon pea tasti enough awaken palat tast local cava appet salt cod bacala tempura fri excel tasti fish subtl favor first preserv dri salt reconstitut soak water cook end result delic flavor pair well light white spanish famou appet sear foie gra onion chutney pedro ximinez reduct love pare foie sautern find dish delight excit pair glass hous sangria split order suckl pig melt mouth good skin crispi chewi without least bit rubberi sangria skip dessert offer spice fruit infus grappa perfect digest rich meal diet food count calori holiday recommend ever madrid,good review,4,Spanish
74457,74458,Los_Galayos,3,Negative,review_165902300,"Great location, poor service","The menu of the day is great price quality. You can have a 3course meal in plaza mayor for 11,20euros... But the service level made me wish id chossen another place. Waiters looking down to avoid you. I sat down, and there was just another...","The menu of the day is great price quality. You can have a 3course meal in plaza mayor for 11,20euros... But the service level made me wish id chossen another place. Waiters looking down to avoid you. I sat down, and there was just another table being served, it took them 10 minutes to come and give me the menu. I had to ask for the daily menu, they didnt give it out.",2013-07-01,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d991050-Reviews-or430-Los_Galayos-Madrid.html,UID_54541,0.035,0.887,0.077,0.5106,0.1222222222222222,0.3319444444444445,0.46334,370,34,0.0918918918918919,0,12,False,24,0.1666666666666666,0.0,0.3333333333333333,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,73,61,4.082191780821918,0,0,menu day great price qualiti cours meal plaza mayor euro servic level made wish id chossen anoth place waiter look avoid sat anoth tabl serv took minut come give menu ask daili menu didnt give,bad review,2,Spanish
74458,74459,Los_Galayos,4,Positive,review_184761741,"Fascinating location, nice atmosphere, good food and decent service","I enjoyed a business dinner at Los Galayos in November 2013 and it was a pleasant experience. The location, straight on Plaza Mayor, is surely fascinating. The restaurant (we booked the entire upper floor) is stylish, comfortable and intimate at the same time. The food...","I enjoyed a business dinner at Los Galayos in November 2013 and it was a pleasant experience. The location, straight on Plaza Mayor, is surely fascinating. The restaurant (we booked the entire upper floor) is stylish, comfortable and intimate at the same time. The food was simple but VERY well cooked, tasty and came in abundant portions. I was also positively surprised by the wine. We were served bottles of some local wines that were looking suspiciously cheap. They turned out to contain some of the best wine I had in a long time. On the downside I was not particularly impressed by the service. Waiters and waitresses know little or none English and they weren't quite elegant/professional as you would expect considering both the overall quality of the place and, according to others reviews I read, the price tag.",2013-11-15,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d991050-Reviews-or420-Los_Galayos-Madrid.html,UID_54542,0.059,0.766,0.175,0.9541,0.2179924242424242,0.5215367965367965,0.5458999999999999,822,66,0.0802919708029197,0,19,False,33,0.2307692307692307,0.1538461538461538,0.3076923076923077,0.1153846153846153,0.1538461538461538,0.0,0.0,0.0,0.0384615384615384,0.0,140,106,4.878571428571429,0,0,enjoy busi dinner lo galayo novemb pleasant experi locat straight plaza mayor sure fascin restaur book entir upper floor stylish comfort intim time food simpl well cook tasti came abund portion also posit surpris wine serv bottl local wine look suspici cheap turn contain best wine long time downsid particularli impress servic waiter waitress know littl none english quit eleg profession would expect consid overal qualiti place accord other review read price tag,bad review,2,Greek
74459,74460,Los_Galayos,4,Positive,review_182274365,Spanish paella,"We had lunch here.  Drinks and service were fine. We ordered a seafood paella.  It was not bad, but sad to say - I have had better in the states, especially when you consider the price for the meal.  Flavor was lacking, but the seafood...","We had lunch here. Drinks and service were fine. We ordered a seafood paella. It was not bad, but sad to say - I have had better in the states, especially when you consider the price for the meal. Flavor was lacking, but the seafood was definitely fresh. We did get to sit outside.",2013-10-24,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d991050-Reviews-or420-Los_Galayos-Madrid.html,UID_54543,0.0,0.738,0.262,0.9433,0.1523809523809523,0.6023809523809522,0.4187200000000001,281,28,0.099644128113879,0,10,False,18,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.1666666666666666,54,43,4.222222222222222,0,0,lunch drink servic fine order seafood paella bad sad say better state especi consid price meal flavor lack seafood definit fresh get sit outsid,average review,3,Spanish
